Begin_7002001_a#0,"""/ci1 2 キミか。<br>ちょうどいい。その実力、見させてもらおう。"""
Success_7002001_a#0,"""/ci2 1 うむ、よい動きだったぞ。<br>その調子で、これからも頼む。"""
Failure_7002001_a#0,"""/ci1 3 む？\u3000とり逃がしたか。"""
Begin_7001004_a#0,"""/ci1 2 エネミーを確認。<br>いくぞ！"""
Success_7001004_a#0,"""/ci2 1 うむ、いいぞ。<br>見事な立ち回りだ。"""
Failure_7001004_a#0,"""/ci1 3 敵が逃げていくようだな。"""
Begin_7002036_a#0,"""/ci1 2 いい機会だ。<br>キミたちの成長を見させてもらおう。"""
Success_7002036_a#0,"""/ci2 1 うむ、上出来だ。<br>ふたりとも。"""
Failure_7002036_a#0,"""/ci1 3 少し調子が悪かったようだな。"""
Begin_7001028_a#0,"""/ci1 2 敵を捕捉した。<br>戦闘を開始する。"""
Success_7001028_a#0,"""/ci2 1 協力に感謝する。<br>堅実な戦いだった。"""
Failure_7001028_a#0,"""/ci1 3 まあ、こんなときもある。<br>気にすることはない。"""
