un_020420_0010#0,"""เอ้า ฮึบ!  ฮึ่ย ย่า!<br>เอาล่ะ คงสลัดพ้นแล้วมั้ง!<br>"""
un_020420_0020#0,"""อ้าว สวัสดี!<br>แหม ดันให้มาเห็นตอนที่<br>น่าอายซะแล้วสิ"""
un_020420_0030#0,"""พอดีชั้นพึ่งจะวิ่งหนีจากศัตรูมาน่ะ"""
un_020420_0040#0,"""ก็นะ ถ้าชั้นแข็งแกร่งขนาดที่ว่า<br>ตัวอะไรมาก็ไม่เป็นไรก็น่าจะดีน้า<br>พูดตรงๆ ชั้นยังอ่อนแออยู่น่ะ"""
un_020420_0050#0,"""การใช้อาวุธเองก็ยังไม่ได้เรื่อง<br>ชั้นยังอ่อนประสบการณ์สินะ นี่น่ะ"""
un_020420_0060#0,"""แต่ถ้าไม่ว่ายังไงก็ต้องชนะล่ะก็<br>......แค่สร้างสถานการณ์ที่ทำให้ชนะได้<br>ขึ้นมาก็พอ ใช่มั้ยล่ะ?"""
un_020420_0070#0,"""......เพราะฉะนั้น<br>ก็ขอความร่วมมือด้วยนะค้า"""
un_020420_0080#0,"""ตอนนี้วิธีที่ดีที่สุดที่จะทำให้ชั้นเห็น<br>ทางชนะที่นี่ได้ ก็คือพึ่งเธอไงล่ะ<br>......คิดว่าไงบ้าง?"""
un_020420_0090#0,"""เอาน่าๆ ถ้ามองโลกในแง่ร้ายว่าชั้น<br>บังคับเธอมันก็น่าเสียดายนะ?<br>คิดว่าชั้นมาพึ่งพาเธอสิ!"""
un_020420_0010#1,"""よっ、ほっ！\u3000はっ、とうっ！<br>よし、撒けたかな！"""
un_020420_0020#1,"""はいっ、こんにちは！<br>いやはや、恥ずかしいとこ<br>見られちゃったね。"""
un_020420_0030#1,"""わたし、ちょうど今<br>敵から逃げてきたとこなんだ。"""
un_020420_0040#1,"""まー、何が来ても大丈夫なぐらい<br>強ければいいんだけどさー<br>正直、わたしは弱いからねぇ。"""
un_020420_0050#1,"""武器の扱いもまだまだだし<br>経験も足りないんだな、これが。"""
un_020420_0060#1,"""それでも勝たなきゃいけないなら<br>……勝てる状況を作ればいい。<br>でしょ？"""
un_020420_0070#1,"""……ということで<br>ご協力、お願いしまーす。"""
un_020420_0080#1,"""今、この現場で考え得る<br>最良の勝ち目は、貴方を頼ること。<br>……どうかな？"""
un_020420_0090#1,"""まあまあ、押しつけられたって<br>考え方は後ろ向きでもったいないよ？<br>頼りにされたと思って、さ！"""
