un_020400_0010#0,"""หือ มีอะไร?<br>อยากจะฟังเรื่องของ Armageneses งั้นเรอะ?"""
un_020400_0020#0,"""ถึงจะพูดอย่างนั้น แต่ข้าก็ไม่ได้เชี่ยวชาญ<br>เรื่อง Armageneses ขนาดนั้นหรอก<br>......แต่ถ้าเป็นของ Maria ล่ะก็"""
un_020400_0030#0,"""Armagenesis ที่ Maria ถือครองอยู่......<br>ชื่อของมันก็คือขวานนรก Labueris<br>เป็น Armagenesis รูปแบบ Partisan"""
un_020400_0040#0,"""คุณลักษณะของมันก็คือ...... ยังไงก็แล้ว<br>แต่คือมันเปราะ ขนาดที่จะคิดว่าใช้มัน<br>แค่ครั้งเดียวก็สามารถพังได้เลยก็ไม่ผิด"""
un_020400_0050#0,"""พลังของ Maria ที่แข็งแกร่งเกินไปก็<br>เป็นส่วนหนึ่ง แต่ด้านตัวอาวุธเอง<br>ก็แทบจะคิดหาความทนทานไม่ได้เลย"""
un_020400_0060#0,"""แม้ว่าแนวความคิดของอาวุธชิ้นนี้ดูเหมือน<br>ว่าจะสร้างเพื่อให้สามารถปลดปล่อยพลัง<br>ของผู้ที่ถือมันได้อย่างไร้ขอบเขตก็ตาม"""
un_020400_0070#0,"""แต่หากปลดปล่อย Photon ออกมามาก<br>เกินไปตัวอาวุธก็จะทนไม่ไหว และร่างกาย<br>ของผู้ใช้ก็จะต้องรับภาระแทนอย่างแน่นอน"""
un_020400_0080#0,"""เห็น Maria หัวเราะสบายๆ แบบนั้น<br>แต่จริงๆ ก็คง...... แต่ก็นะ สำหรับ<br>เจ้าพวกนั้นการฝืนก็คืองานนั่นแหละ """
un_020400_0090#0,"""สิ่งที่ข้าสามารถทำได้ก็มีแค่<br>การซ่อมของที่พังให้กลับมา<br>ในสภาพสมบูรณ์พร้อมเท่านั้น"""
un_020400_0010#1,"""む、どうした？<br>創世器の話が聞きたいのか。"""
un_020400_0020#1,"""といっても、わしもそこまで<br>創世器に詳しいわけではないが<br>……マリアのものならば。"""
un_020400_0030#1,"""マリアの所持する創世器……<br>その名を、閻斧ラビュリスという。<br>パルチザン型の創世器じゃ。"""
un_020400_0040#1,"""あれの特徴は……とにかく脆い。<br>一度使ったら壊れると思って<br>ほぼ間違いはないな。"""
un_020400_0050#1,"""マリアの力が強すぎるのもあるが<br>あの武器自体が、耐久性を<br>まったく考えていないんじゃ。"""
un_020400_0060#1,"""とにかく、所有者の力を<br>際限なしにぶっ放す、という<br>コンセプトみたいじゃの。"""
un_020400_0070#1,"""フォトンの発散が強すぎて<br>武器がもたず、所有者の身体にも<br>相当な負担がかかっとるはずじゃ。"""
un_020400_0080#1,"""マリアは平気そうにからからと<br>笑っとるが……まあ、あやつらは<br>無理するのが仕事じゃからな。"""
un_020400_0090#1,"""わしにできるのは、壊れたものを<br>万全の状態に直してやること<br>ぐらいじゃよ。"""
