msc_012300_5010#0,"""하하하하하."""
msc_012300_0010#0,"""이 승리는 모두 너희 덕분이다. 이 자리를 빌어 다시 감사하지."""
msc_012300_0020#0,"""아니야, 나데레흐의 노래가 있었기에 이길 수 있던 거야."""
msc_012300_0030#0,"""하지만……마논이 알려주지 않았다면<br>쓸 수도 없었을 테니까."""
msc_012300_0040#0,"""아직 돌즈의 위협이 완전히<br>사라진 건 아니지만……."""
msc_012300_0050#0,"""이제 리템 시티도 조금이나마 안정될 거야."""
msc_012300_0060#0,"""이번엔 우리가 힘을 보태줄 차례군.<br>센트럴과의 협력체제를 갖추도록 도와줘."""
msc_012300_0070#0,"""어, 정말이야!?\u3000고마워!"""
msc_012300_0080#0,"""이미 크로퍼드와 대화를 마쳤다.<br>앞으로도 잘 부탁해."""
msc_012300_0090#0,"""우리야말로!"""
msc_012300_0100#0,"""그럼, 축제를 즐겨 줘."""
msc_012300_0110#0,"""오늘은 마음껏 즐기도록."""
msc_012300_5030#0,"""멋져ー!"""
msc_012300_5040#0,"""좋은 노래였어ー!"""
msc_012300_5050#0,"""아하하하"""
msc_012300_0120#0,"""예쁘다……."""
msc_012300_0125#0,"""좋은 노래였어."""
msc_012300_0130#0,"""그런 소리 마. 사람들 앞에서 노래하는 건 어색한걸."""
msc_012300_0140#0,"""평소에는 그렇게 당당하면서."""
msc_012300_0150#0,"""아하하."""
msc_012300_0160#0,"""후후."""
msc_012305_0170#0,"""다음에 또 와줘. 언제든지 환영할테니."""
msc_012305_0180#0,"""신세 많이 졌다."""
msc_012305_0190#0,"""반드시 다시 만나세!"""
msc_012305_0200#0,"""기다리고 있을테니!"""
msc_012305_0210#0,"""으, 응. 고마워."""
msc_012305_0220#0,"""또 내 이야기라도 들으러 와 줘."""
msc_012305_0230#0,"""자, 센트럴 시티로 돌아가자!"""
