Title#0,"""De Marmoth Eradication"""
Explanation#0,"""พวก De Marmoths จำนวนมากกำลังสร้างปัญหาที่ <br>White Summit บน Naberius<br>หน่วยยุทธศาสตร์ของเราบอกว่าปกติพวกมันจะเชื่อง<br>แต่เกิดอะไรไม่รู้ทำให้พวกมันดุร้าย<br>ARKS จงมุ่งหน้าไป White Summit<br>แล้วกำจัด De Marmoths เพื่อความสงบสุขในพื้นที่<br>----------------------------------------<br>ท่านจะล้มเหลวถ้าแพ้การต่อสู้สุดท้าย"""
Title#1,"""デ・マルモス鎮圧"""
Explanation#1,"""惑星ナベリウスの凍土で、巨大原生種の<br>デ・マルモスによる被害が相次いでいる。<br>温厚な原生生物と報告にはあるのだが<br>何らかの手違いなどで敵愾心を抱き<br>こちらを指向的に狙ってきてしまうようだ。<br>アークス各員は、凍土へと赴き<br>襲いかかってくるデ・マルモスを<br>撃退、鎮圧してきて欲しい。<br>――――――――――――――――――――<br>失敗条件/最深部での敗北"""
SimpleExplanation#0,"""กำจัด De Marmoths!"""
SimpleExplanation#1,"""デ・マルモスを鎮圧せよ！"""
a1#0,"""ผ่าน Client Order"""
a2#0,"""ผ่าน Client Order"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
