un_020740_0010#0,"""อ้าวๆ แหมๆ คุณเองเหรอคะ"""
un_020740_0020#0,"""สบายดีรึเปล่าค้า?<br>......ท่าทางจะสบายดีสินะคะ<br>ปลอดภัยดีก็ดีแล้วล่ะค่า"""
un_020740_0030#0,"""Risa น่ะกำลังเดินเล่นอยู่ค่า<br>เพราะตอนนี้บรรยากาศใน ARKS Ship <br>มันไม่ค่อยจะผ่อนคลายซักเท่าไหร่"""
un_020740_0040#0,"""เป็นสภาวะตึงเครียดอีกแบบที่ต่างจาก<br>ตอนที่ Dark Falz ฟื้นคืนชีพเลยนะคะ"""
un_020740_0050#0,"""เป็นบรรยากาศกระอักกระอ่วนที่ไม่ได้มา<br>จากภายนอกแต่เกิดขึ้นจากภายในนี่ล่ะค่า<br>เล่นทำเอาตัวสั่นสะท้านเลย"""
un_020740_0060#0,"""เวลาแบบนี้ทำให้นึกถึงเรื่องในอดีต<br>เมื่อนานมาแล้วขึ้นมาเลยนะค้า"""
un_020740_0070#0,"""แต่ก็นะคะ มันเป็นอดีตแบบไหน<br>ชั้นเองก็จำไม่ได้แม้แต่ตี๊ดเดียว<br>แล้วล่ะค่า"""
un_020740_0080#0,"""ว่าแต่ว่านะคะ ว่าแต่ว่า<br>มันก็น่าอิจฉาจังเลยค่ะ<br>ดูท่าทางน่าสนุกด้วยค่า"""
un_020740_0090#0,"""รู้ตัวรึเปล่าค้า?<br>ว่าบรรยากาศตึงเครียดนี่น่ะ<br>มีคุณเป็นศูนย์กลางอยู่นะค้า"""
un_020740_0100#0,"""อยากรู้จังว่ามันมีอะไรเกิดขึ้นกันแน่<br>อ๊า อิจฉาอิจฉา ชั้นล่ะอยากจะยิง ยิง <br>ยิง ความวุ่นวายทั้งหมดทิ้งไปจังเลย......"""
un_020740_0110#0,"""แต่ว่าแต่ว่า Risa เองก็ยังพอจะมีสำนึกดีชอบ<br>อยู่บ้าง ดังนั้นจึงไม่ทำเรื่องแบบนั้นหรอกค่า<br>กรุณาสบายใจเถอะนะคะ คิกคิก"""
un_020740_0010#1,"""あらあらおやおやあなたですか。"""
un_020740_0020#1,"""元気ですかあ？<br>……元気ですねえ。<br>無事そうでなによりですよお。"""
un_020740_0030#1,"""リサは気ままに散歩中です。<br>今のアークスシップはあんまり<br>のんびりする空気じゃないので。"""
un_020740_0040#1,"""この前のダークファルス復活とも<br>また違った緊張感ですねえ。"""
un_020740_0050#1,"""外向きじゃなくて<br>内向きにピリピリしてます。<br>ぞくぞくっとしますねえ。"""
un_020740_0060#1,"""これもまた、むかーしむかしを<br>思い出す感じですよお。"""
un_020740_0070#1,"""ま、どんな昔だったのかは<br>まったくぜんぜんこれっぽっちも<br>覚えていないんですけどね。"""
un_020740_0080#1,"""それにしても、ああそれにしても<br>羨ましいですねえ。<br>楽しそうですねえ。"""
un_020740_0090#1,"""気付いていますか？<br>これ、あなたを中心に渦巻いている<br>内向きのピリピリなんですよお。"""
un_020740_0100#1,"""いったい何があるんでしょう。<br>ああ、羨ましい羨ましい。渦中の全てを<br>撃って撃って撃ってしまいたい……"""
un_020740_0110#1,"""でもでも、リサは良識を持ってるので<br>そんなことはしませんよ。<br>安心してくださいねえ、ふふふっ。"""
