Title#0,"""破壞環境污染裝置"""
Explanation#0,"""位於納貝流士行星最深處的遺跡<br>深處，發現了達卡的環境污染裝置<br>黑暗污染球。<br>坐視不管的話，納貝流士的<br>環境恐怕會因此遭到破壞。<br>取得探索許可的ARKS請依序出擊，<br>儘速前往遺跡最深處，<br>將黑暗污染球破壞。<br>――――――――――――――――――――<br>失敗條件/黑暗污染球破壞失敗"""
Title#1,"""環境汚染装置破壊"""
Explanation#1,"""惑星ナベリウスの最奥に位置する遺跡の<br>奥深くで、ダーカーの環境汚染装置である<br>ダーカイムが発見された。<br>このまま放置していれば、ナベリウスの<br>環境が破壊されてしまうだろう。<br>探索許可を得ているアークスは<br>至急遺跡の最深部へと向かい<br>ダーカイムを破壊せよ。<br>――――――――――――――――――――<br>失敗条件/ダーカイム破壊に失敗"""
SimpleExplanation#0,"""破壞黑暗污染球！！"""
SimpleExplanation#1,"""ダーカイムを破壊せよ！"""
a1#0,"""這是一個測試。"""
a2#0,"""這是一個測試。"""
a3#0,"""持有超級困難模式受理許可證"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
