linewindow#0,"""มุมกล้อง Action"""
text00#0,"""มุมกล้อง Action"""
text01#0,"""มุมกล้อง Action คือโหมดมุมกล้องพิเศษสำหรับผู้ที่ใช้อาวุธระยะไกล<br>จงใช้มันเมื่อท่านต้องการความแม่นยำในการโจมตี"""
text02#0,"""กดปุ่ม <%ChangeView> เพื่อเปลี่ยนมุมมองกล้อง<br><br>ใช้เมาส์เพื่อเลื่อนเคอร์เซอร์"""
text03#0,"""กดปุ่ม <%ChangeView> เพื่อเปลี่ยนมุมมองกล้อง<br><br>ใช้จอยขวาเพื่อเลื่อนเคอเซอร์"""
text04#0,"""ในการกลับไปที่มุมมองก่อนหน้า ให้กดปุ่ม <%ChangeView> อีกครั้ง<br><br>มุมกล้อง Action จำเป็นมากถ้าท่านต้องการความแม่นยำในการโจมตีระยะไกล"""
text101#0,"""พวกเด็กใหม่มักจะหลับหูหลับตายิงแบบไม่คิด<br>แต่ถึงปืนจะมีอานุภาพรุนแรงแค่ไหน <br>แต่มันก็ไม่มีประโยชน์ถ้ายิงไม่โดน"""
text102#0,"""เพราะงั้นเอาให้มั่นใจทุกครั้งว่ายิงโดนเป้าที่เล็งไว้ล่ะ!"""
linewindow#1,"""<br>『肩越し視点』について<br>"""
text00#1,"""『肩越し視点』について"""
text01#1,"""『肩越し視点』について説明します。<br><br>肩越し視点は、より精密な攻撃を行いたい場合等<br>射撃武器を想定した専用の視点モードです。"""
text02#1,"""<%ChangeView> を入力することで、視点が切り替わります。<br><br>カーソルは、マウス操作で動かすことができます。"""
text03#1,"""<%ChangeView> を入力することで、視点が切り替わります。<br><br>カーソルは、右スティックで動かすことができます。"""
text04#1,"""元の視点に戻すには、もう一度<%ChangeView>を入力します。<br><br>肩越し視点は、より精密な射撃攻撃などを行う上で<br>非常に重要になります。"""
text101#1,"""初心者ほど乱射に走ってしまうものだが<br>どんなに優秀なアークスでも、弾薬を<br>切らしては銃器を持つ意味がない。"""
text102#1,"""射撃は的確に狙いを定めたまえ！"""
