IncidentName#0,"""Fusillade Flower ค้นหาและทำลาย!"""
TrialBeginMsg#0,"""กำจัด Fusillade Flowers!"""
TrialAbstract#0,"""กำจัด Fusillade Flowers!"""
ToastOnHalfFinish#0,"""ครึ่งทางของเป้าหมายทั้งหมด"""
ToastOnLast#0,"""เหลืออีกหนึ่งจากเป้าหมายทั้งหมด"""
IncidentName#1,"""砲仙花掃討作戦"""
TrialBeginMsg#1,"""砲仙花を一掃しろ！"""
TrialAbstract#1,"""砲仙花を一掃しろ！"""
ToastOnHalfFinish#1,"""ノルマ達成まで残り半分"""
ToastOnLast#1,"""ノルマ達成まであと１つ"""
NpcComOnBegin#0,"""ดูเหมือนท่านจะเข้าสู่เขตของ Fusillade Flowers แล้ว<br>หือ? จำนวนมากขนาดนี้ มันคงทำให้การวิจัยช้าลงแน่<br>ท่านได้รับอนุญาตให้กำจัดทันทีที่พบเห็น"""
NpcComOnBeginNext#0,"""พวกมันมีจำนวนมากเกินไปที่จะระบุตำแหน่งทั้งหมด<br>ดังนั้นท่านกำจัดได้ทุกตัวที่พบได้เลย"""
NpcComOnSuccess#0,"""เราพบว่าท่านเคลียร์พื้นที่ได้แล้ว<br>ยอดเยี่ยมมาก"""
NpcComOnFailure#0,"""/face6 จำนวนมากขนาดนี้เลยเหรอ...<br>ช่วยไม่ได้ คงต้องถอนตัวล่ะนะ"""
NpcComOnAccess#0,"""ยอดเยี่ยมมาก แบบนั้นแหละ<br>พยายามกำจัดพวกมันที่เหลือในบริเวณนี้ให้หมด"""
NpcComOnHit#0,"""[จงทำต่อไป ฝากกำจัด Fusillade Flowers ให้ที!]"""
NpcComOnPreSuccess#0,"""แค่นี้ก็คงพอแล้วล่ะ<br>ส่วน Fusillade Flowers ที่เหลืออยากทำอะไรก็ตามสบายเลย"""
NpcComOnPreFinish#0,"""ใกล้จะหมดเวลาแล้ว เร็วเข้า!<br>กำจัดมันให้มากที่สุดเท่าที่จะทำได้"""
NpcComOnBegin#1,"""砲仙花の群生地帯に入ったようだ。<br>こう数が多いと、調査の邪魔になる。<br>見つけ次第排除せよ。"""
NpcComOnBeginNext#1,"""数が多すぎてマーカーに表示できん。<br>手当たり次第に排除しろ。"""
NpcComOnSuccess#1,"""排除の成功を確認。<br>よくやった。"""
NpcComOnFailure#1,"""/face6 この数は手に負えんか……<br>仕方ない、ひとまず撤退しろ。"""
NpcComOnAccess#1,"""その調子だ。<br>周囲の砲仙花の排除を続けろ。"""
NpcComOnHit#1,"""「その調子だ。周囲の砲仙花の一掃を頼む」"""
NpcComOnPreSuccess#1,"""よし、これだけ排除すれば十分だ。<br>残っている砲仙花の扱いは任せる。"""
NpcComOnPreFinish#1,"""そろそろ制限時間が終わる。<br>早く砲仙花を排除しろ。"""
