un_025000_0010#0,"""……<%me>君"""
un_025000_0020#0,"""会えて良かった。<br>君にだけは、直接<br>礼を言いたかったのでな。"""
un_025000_0030#0,"""我々の……いや、私の間違いを<br>正してくれたこと、感謝する。<br>……ありがとう。"""
un_025000_0040#0,"""同時に、詫びる。<br>何の罪もない君を、あのような手で<br>追い詰めてしまったことを……"""
un_025000_0050#0,"""友と戦わねばならない状況を<br>作ってしまったことを……<br>心より、詫びる。"""
un_025000_0060#0,"""此度の件は、全て私に責がある。<br>状況が落ち着き次第、皆が納得する形で<br>責任を取るつもりだ。"""
un_025000_0070#0,"""重い口調で責任を取る、って<br>自決でもするつもりかい？<br>そんな楽な逃げ方はさせないよ。"""
un_025000_0080#0,"""だが、トップが責任を取らねば<br>組織が立ち行かなくなる。<br>今、アークスを崩壊させるわけには……"""
un_025000_0090#0,"""古い古い、考え方が古いよアンタ。<br><%me>も<br>そう思わないかい？"""
un_025000_0100#0,"""放送での通達も、絶対令の使用も<br>全部一人でやってみせていたのは<br>責任を背負い込むためだろう？"""
un_025000_0110#0,"""その、一人で責任を<br>おっかぶろうとする姿勢が<br>アタシは一番気にくわない。"""
un_025000_0120#0,"""……ならば、どうする。<br>戦うことしか知らぬこの身に<br>何を求めるというのだ。"""
un_025000_0130#0,"""ほんとアンタ<br>いつまで経っても不器用だね。"""
un_025000_0140#0,"""責任の取り方は何も一つじゃない。<br>どうやって償うか、そこから<br>考えてみろ、ってことだよ。"""
un_025000_0150#0,"""どうしてもわからないなら……<br>そうだな。"""
un_025000_0160#0,"""死んだ方がマシと思えるぐらい<br>アークスのために動いて、動いて<br>それから、死ぬといい。"""
un_025000_0170#0,"""今すぐ死なれるほうが<br>よっぽど迷惑だ。なあ？"""
un_025000_0180#0,"""……責任の取り方、か。"""
