name01#0,"""Pudding"""
11_voice_NPC_5082_104#0,"""ท่าน <%me><br>ชั้นเป็นเจ้าหน้าที่ควบคุมดูแลชื่อ Pudding ค่ะ"""
text02#0,"""ที่ชั้นได้ติดต่อไปก็ไม่ใช่เรื่องอื่นใด<br>นั่นก็เพื่อที่จะแนะนำสถานที่ฝึกฝนแห่งใหม่<br>สำหรับ ARKS ค่ะ """
text03#0,"""ที่นี่มีชื่อว่า Extreme Quest ค่ะ<br>การจะรับเควสเหล่านี้ได้นั้นจำเป็น<br>ที่จะต้องมี Extreme Pass"""
text04#0,"""Extreme Pass นั้นชั้นเก็บเอาไว้ให้อยู่แล้ว<br>เพราะฉะนั้นถ้ามีเวลาก็มารับไปได้เลยนะคะ"""
text05#0,"""เอาล่ะ ภายหลัง<br>ก็ต้องขอฝากเนื้อฝากตัวด้วยนะคะ"""
name01#1,"""プリン"""
11_voice_NPC_5082_104#1,"""<%me>さん。<br>管理官のプリンと申します。"""
text02#1,"""こうしてご連絡させていただいたのは<br>他でもありません。アークスの新たな<br>訓練用施設の案内のためです。"""
text03#1,"""これを、エクストリームクエストと<br>呼称しています。このクエストの<br>受注には専用パスが必要です。"""
text04#1,"""パスは私が管理しておりますので<br>お時間のある時に取りに来て下さい。"""
text05#1,"""では、今後とも<br>よろしくお願いいたします。"""
linewindow#0,"""เกี่ยวกับ [Extreme Quest]"""
text00#0,"""เกี่ยวกับ [Extreme Quest]"""
text01#0,"""ข้อมูลเกี่ยวกับ [Extreme Quest]<br><br>คือ โปรแกรมจำลองที่เข้มงวดและโหดร้ายซึ่งถูกสร้างขึ้นมาสำหรับ<br>ฝึกฝนบุคคลากรที่เชี่ยวชาญในการปฏิบัติภารกิจ<br><br>ท่านสามารถใช้งานโลกเสมือนจริงนี้ได้ผ่านทาง Telepool ของ <br>CampShip ที่ถูกเก็บอยู่บน ARKS Ship<br><br>บนโลกเสมือนจริงนี้ Area ต่างๆ จะถูกแบ่งออกเป็นชั้นๆ เรียกว่า [Stage]"""
text02#2,"""และการจะเริ่มภารกิจ [Extreme Quest] ได้<br>ท่านจำเป็นต้องมี [Extreme Pass] เสียก่อน<br><br>ท่านสามารถขอรับ [Extreme Pass] ได้จากเจ้าหน้าที่ Pudding<br><yellow>โดย 1 แอคเคาท์สามารถรับได้ 1 ครั้ง ทุกๆ 22 ชั่วโมงเท่านั้น<c>"""
linewindow#1,"""<br>『エクストリームクエスト』について<br>"""
text00#1,"""『エクストリームクエスト』について"""
text01#1,"""「エクストリームクエスト」について説明します。<br><br>「エクストリームクエスト」は、過酷な状況下での<br>任務達成能力を高めるために用意された訓練プログラムです。<br><br>アークスシップの格納庫に固定されたキャンプシップの<br>テレプールからＶＲ空間にダイブすることが可能となっています。<br><br>ＶＲ空間では「ステージ」と呼ばれるエリアが幾重にも連なっており<br>定期的に拡張されていきます。"""
text02#3,"""「エクストリームクエスト」を開始するには<br>「エクストリームパス」が必要となります。<br><br>「エクストリームパス」は管理官プリンから<br><yellow>アカウントにつき、２２時間ごとに１回<c><br>受け取ることができます。"""
