name_7422#0,"""ダーナ"""
ssn_014440_0001#0,"""ようこそ、リテムシティへ！"""
ssn_014440_0002#0,"""あたしは、ダーナ！<br>ここの見張り役さ。"""
ssn_014440_0003#0,"""エネミーの襲撃が来たら、すぐに知らせるから。<br>その時は、キミも戦ってね。"""
ssn_014440_0101#0,"""キミ、相当な腕前らしいね。<br>強力なドールズをけっこう倒したんだって？"""
ssn_014440_0102#0,"""だけどね、あたしは噂には惑わされないよ！<br>この目で確かめてみないとね。"""
ssn_014440_0103#0,"""だからさ、その腕前を見せてくれない？"""
ssn_014440_0201#0,"""それじゃ、リテム・エルノザにいるエネミーを倒してくれない？<br>もう知ってるかもしれないけど、強力な奴らばかりさ。"""
ssn_014440_0202#0,"""あいつらを一掃できたら、<br>キミの力を認めてやるよ！"""
ssn_014440_0301#0,"""そう……。キミの腕前、見てみたかったんだけどな。<br>まあ、気が変わったらまた来てよ。"""
ssn_014440_0401#0,"""いやホント、想像以上の腕前だったよ。"""
ssn_014440_0402#0,"""今回はわがまま聞いてくれて、ありがとう。<br>これからの活躍、期待してるよ。"""
