un_059040_0001#0,"""A.P.241/12/5"""
un_059040_0010#0,"""アルマさん、何を見てるの？"""
un_059040_0020#0,"""のわっ！？"""
un_059040_0030#0,"""な、なんでもないよーっと！<br>さて、わたしは外でちょっと<br>のんびりしてこようかなー。"""
un_059040_0040#0,"""あっ、行っちゃった。<br>……何を見てたんだろうね？"""
un_059040_0050#0,"""アークスの歴史とか？"""
un_059040_0060#0,"""世界情勢とか？"""
un_059040_0070#0,"""ふふふ、気になりますよね。<br>お二人も気になりますよね。"""
un_059040_0080#0,"""うわっ！？<br>し、シエラちゃん？"""
un_059040_0090#0,"""四十年前の伝説の存在。<br>初代クラリスクレイスことアルマさん。<br>そんな彼女が何に興味を持ったのか。"""
un_059040_0100#0,"""私なら閲覧履歴を辿ることができます！<br>お二人が望むのであれば、いつでも！"""
un_059040_0110#0,"""シエラ。"""
un_059040_0120#0,"""……ほどほどにね。"""
un_059040_0130#0,"""のぞき見にほどほども何もないよ！<br>止めようよシャオくん！"""
un_059040_0140#0,"""シエラちゃんも<br>即座に行動に移さない！"""
un_059040_0150#0,"""これは……"""
un_059040_0160#0,"""レギアスさんと、マリアさんの<br>出撃記録……？"""
un_059040_0170#0,"""シャオ。<br>何とかならないんでしょうか。"""
un_059040_0180#0,"""……僕にだって出来ないことはある。<br>アカシックレコードの可視化や<br>それとの接触なんて、最たるものだ。"""
un_059040_0190#0,"""でも、このままだと<br>アルマさんがかわいそうだよ。"""
un_059040_0200#0,"""今もアークスのために、って<br>頑張ってくれてるのに……"""
un_059040_0210#0,"""……でしたら！<br>私たちで、なんとかしましょう！<br>いいですよね、シャオ！"""
un_059040_0220#0,"""なにも僕だって、彼女のことが<br>嫌いなわけじゃないんだ。<br>自由にやってみていいよ。"""
un_059040_0230#0,"""……ただし、大事にしないこと。<br>それは、アルマが望んでいない。"""
