name_7705#0,"""リンチェ"""
ssn_014420_0001#0,"""あなたのおかげで、患者たちも喜んでるわ。<br>本当に助かったわ、ありがとう。"""
ssn_014420_0002#0,"""またなにかあったら、お願いね。"""
ssn_014420_0101#0,"""この前は、ありがとう。<br>とても助かったわ。"""
ssn_014420_0102#0,"""それで、実はまたお願いしたいことがあって……。"""
ssn_014420_0103#0,"""今度は別の食料を調達してきてほしいの。<br>引き受けてもらえないかしら？"""
ssn_014420_0201#0,"""あなたも、いろいろと大変だものね。<br>また来てくれると、嬉しいわ。"""
ssn_014420_0301#0,"""今度はね、野菜を採ってきてもらいたいの。<br>それも、なるべく新鮮なものを。"""
ssn_014420_0302#0,"""患者たちに、もっと栄養をつけてあげて、<br>早く元気になってもらいたいから。"""
ssn_014420_0303#0,"""そうね……、野菜は南リテムへ行けば採れると思うわ。<br>でも、くれぐれも無理はしないようにね。"""
ssn_014420_0401#0,"""まあ、ずいぶん採れたようね。<br>そんなに新鮮なもの、本当に久しぶり。"""
ssn_014420_0402#0,"""それじゃ、この前と同じように、<br>マーリンに渡してもらえるかしら？\u3000よろしくね。"""
ssn_014420_0501#0,"""これで患者たちも、すぐに元気になると思うわ。<br>本当に、何てお礼を言ったらいいか……。"""
ssn_014420_0502#0,"""引き続き、頑張ってね。<br>くれぐれも気をつけて。"""
