Title#0,"""市區奪回作戰"""
Explanation#0,"""發生緊急情況。<br>ARKS戰艦市區遭受大量達卡<br>襲擊，部分機能遭到占領。<br>ARKS各成員請在準備完成後儘速出擊。<br>殲滅市區的達卡。<br>另外也發現了似乎是指揮官的巨大達卡<br>出現，發現後請立即殲滅。<br>......這不是訓練，是實戰。<br>――――――――――――――――――――<br>失敗條件/在最深處敗北、超過限制時間"""
Title#1,"""市街地奪還作戦"""
Explanation#1,"""緊急事態が発生した。<br>アークスシップ市街地へ多数のダーカーの<br>襲撃を受け、一部機能が占拠された。<br>アークス各員は、準備が完了次第即出撃。<br>市街地に存在するダーカーを殲滅せよ。<br>指令塔と思わしき巨大なダーカーも<br>確認されている、発見次第即座に殲滅せよ。<br>……これは訓練ではない、実戦である。<br>――――――――――――――――――――<br>失敗条件/最深部での敗北、制限時間の経過"""
SimpleExplanation#0,"""朝最深處前進！"""
SimpleExplanation#1,"""最深部を目指せ！"""
a1#0,"""這是一個測試。"""
a2#0,"""這是一個測試。"""
a3#0,"""持有超級困難模式受理許可證"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
