name01#0,"""？？？"""
name02#0,"""？？？"""
ra_025020_0001#0,"""A.P.238/7/10"""
ra_025020_0010#0,"""<%me><br>……待っていた。"""
ra_025020_0020#0,"""ははっ、どうかな？<br>今の話し方、シオンみたいだったろう？"""
ra_025020_0030#0,"""ま、ぼくは彼女のコピーだから<br>似てて当然なんだけどね。"""
ra_025020_0040#0,"""でも、かたっくるしいのはなしだ。<br>気楽に話しかけて欲しいかな。<br>ぼくも、君を気軽に頼るから。"""
ra_025020_0050#0,"""ああっとそれより、本題だね。<br>君を呼び出した理由。<br>直接話したいこと。"""
ra_025020_0060#0,"""彼女……<br>マトイのことについてさ。"""
ra_025020_0070#0,"""単刀直入に言うと<br>彼女が何者なのか、わからない。<br>どこにも、データが存在しないんだ。"""
ra_025020_0080#0,"""あれだけの力を持っているのに<br>その存在すら記録されていない。<br>……これはおかしい。"""
ra_025020_0090#0,"""アークスのデータベースにも<br>シオンの記録の中にも、どこにも……<br>まるで、故意に消されたように、ね。"""
ra_025020_0100#0,"""ルーサーが抹消していたのなら<br>まだ納得がいったんだけど……<br>あいつも、彼女のことは知らなかった。"""
ra_025020_0110#0,"""となると、そんなことができるのは<br>もう１人しかいない……"""
ra_025020_0120#0,"""そう、シオンが消したんだ。<br>彼女の記録を、全て。"""
ra_025020_0130#0,"""消されていたのはそれだけじゃない。<br>今からちょうど十年前の記録が<br>すべて、完全に抹消されている。"""
ra_025020_0135#0,"""記録だけじゃない。<br>アークス全員の記憶も、消されてる。<br>誰も、まともに覚えていないんだ。"""
ra_025020_0140#0,"""サルベージも追跡調査も不可能。<br>不自然なほどに、完全にね。"""
ra_025020_0150#0,"""十年前……皆が忘れたその時間に<br>きっと、何かがあるはず。<br>でも、消された記録は辿れない……"""
ra_025020_0160#0,"""だったら、見に行けばいい。<br>何があったのかを、直接ね。"""
ra_025020_0170#0,"""<%me>なら<br>それができる。"""
ra_025020_0180#0,"""……これはなにも好奇心だけで<br>言っているわけじゃないんだ。"""
ra_025020_0190#0,"""シオンはいなくなり<br>ルーサーは滅んだ。<br>これから、アークスは生まれ変わる。"""
ra_025020_0200#0,"""つまり、ルーサーの持っていた管制も<br>シオンの司っていた演算も<br>全て、ぼくがやらなければならない。"""
ra_025020_0210#0,"""これからはじまる新たなアークスの<br>管理と保全のために、ぼくは<br>可能な限り、知らなければならない。"""
ra_025020_0220#0,"""それがどんなに都合の悪いこと<br>だったとしても。"""
ra_025020_0230#0,"""とはいえ、好奇心があるのも事実。<br>ぼく自身、ぼくが生まれる前の歴史を<br>見てみたいって思ってるしね。"""
ra_025020_0240#0,"""だから、どうするかの判断は<br>君に任せるよ。<br>知らない方がいいことも、きっとある。"""
ra_025020_0250#0,"""それでも、協力してくれるなら<br>いつでも話しかけて欲しい。<br>ぼくはここで、君を待ってるからさ。"""
ra_025030_0010#0,"""ありがとう。君ならきっと<br>協力してくれると思ってたよ。"""
ra_025030_0020#0,"""さて、そうと決まったら<br>さっさと動き出さないとね。"""
ra_025030_0030#0,"""完全に抹消された記録の日時。<br>その空白の日時を見に行けば<br>きっと何かがわかるはずだ。"""
ra_025030_0040#0,"""今までやってきた時間遡航の<br>応用みたいな感じだよ。"""
ra_025030_0050#0,"""でも、君ならきっとできる。<br>これまで何度も、跳んできた<br>君になら。"""
ra_025030_0060#0,"""……もしかしたらシオンは、ここまで<br>見越していたのかもしれないね。<br>……だから、君を選んだのか。"""
ra_025030_0070#0,"""バックアップはぼくに任せて<br>君は現地へ向かって。"""
ra_025030_0080#0,"""何があったのか<br>しっかり見届けよう。"""
al_020040_0010#0,"""シオンの願いはアークスをルーサーから<br>解放して、皆を未来へと繋ぐこと……<br>そういうこと、だったんだよね。"""
al_020040_0020#0,"""この答えに至るまで、何度も失敗して<br>その度に演算を繰り返して……<br>ようやく、辿り着いた結果なんだね。"""
al_020040_0030#0,"""……シオンが消えたのは悲しいけど<br>それがシオンの出した答えだから<br>受け入れてあげないと、かな。"""
al_020040_0040#0,"""こうしてアークスはルーサーの支配から<br>脱却することができたんだね。<br>……ただ、まだ謎が残ってるよ。"""
al_020040_0050#0,"""二代目ちゃんの、記録。<br>ルーサーからその存在を秘匿するため<br>オラクル全体の記録と記憶を消去した。"""
al_020040_0060#0,"""それが、１０年前……ああいや<br>今からで考えると１３年前ぐらいかな？"""
al_020040_0070#0,"""アカシックレコードにアクセスできる<br>シオンだからこその荒技だよね。<br>世界の記憶から消しちゃうなんて。"""
al_020040_0080#0,"""でも、相当無茶したんだと思うよ。<br>シオンはあくまで観測者で<br>そういうことをする存在じゃないし。"""
al_020040_0090#0,"""自分の本分ではないことまでして<br>二代目ちゃんを隠したがったのは何故。<br>シオンは、何を考えていたのかな。"""
al_020040_0100#0,"""答えは、過去にありそうだね……"""
