IncidentName#0,"""擊敗$(0)"""
TrialBeginMsg#0,"""擊敗$(0)！<br>只要$(1)無法戰鬥2次即告失敗。"""
TrialAbstract#0,"""擊敗$(0)！<br>只要$(1)無法戰鬥2次即告失敗。"""
NpcComOnBegin#0,"""請與前來救援的ARKS互相協助<br>討伐敵人！"""
NpcComOnSuccess#0,"""/face2 辛苦了！<br>我覺得你們合作無間，很有默契！"""
NpcComOnFailure#0,"""事情總有不順心的時候。<br>前來救援的ARKS由我這邊<br>進行回收。"""
NpcComOnDownA#0,"""你們合作得似乎並不順利。<br>不要忘了必須互相協助。"""
NpcComOnDownB#0,"""對方承受了相當大<br>的負擔。下次失敗時<br>我必須建議對方撤退。"""
NpcComOnBegin#1,"""援兵好像來了。<br>互相協助，討伐目標吧。<br>我要你們建立共同戰線。"""
NpcComOnSuccess#1,"""真是絕佳的默契。<br>這次共同作戰對雙方都有好處。"""
NpcComOnFailure#1,"""哎，難免也會有這種情況。<br>我這邊會進行回收<br>你別擔心。"""
NpcComOnDownA#1,"""你們沒有好好聯手行動。<br>不要忘了互相協助。"""
NpcComOnDownB#1,"""對方承受的負擔很大。<br>下次失敗時我必須提議撤退，<br>沒意見吧？"""
NpcComOnBegin#2,"""ARKS都是我們的同伴！<br>互相協助，努力奮鬥吧！"""
NpcComOnSuccess#2,"""/face2 辛苦了！<br>你們真是合作無間！"""
NpcComOnFailure#2,"""嗯，不過這也是常有的事啦！<br>我這邊會進行回收<br>您不用太擔心！"""
NpcComOnDownA#2,"""嗯，合作得不是很順利呢......<br>再試著互相配合一下吧。"""
NpcComOnDownB#2,"""對方承受的負擔<br>有點大喔。<br>下次可能就得撤退了......！"""
NpcComOnBegin#3,"""救援人員の到着を確認。<br>協力して目標の討伐を。"""
NpcComOnSuccess#3,"""目標の討伐を確認。<br>見事な連携でした。"""
NpcComOnFailure#3,"""救援人員、戦闘不能。<br>こちらで強制回収します。<br>通常任務へお戻りください。"""
NpcComOnDownA#3,"""協力が不十分かと。<br>互いの存在を意識して<br>任務にあたってください。"""
NpcComOnDownB#3,"""対象のアークスの負担が大きく<br>危険な状態です。次の失敗時には<br>強制撤退となります。"""
NpcComOnBegin#4,"""味方が救援に来てくれました！<br>協力して、敵性存在を撃退しましょう！"""
NpcComOnSuccess#4,"""お疲れさまでした！<br>相手が何であっても皆さんで協力すれば<br>怖いものなし、ですね！"""
NpcComOnFailure#4,"""対象のアークスはこちらで回収します！<br>こういうこともありますので<br>気を取り直して、いきましょう！"""
NpcComOnDownA#4,"""協力中のアークスの負担が大きいです！<br>上手くフォローしてあげてください！"""
NpcComOnDownB#4,"""協力中のアークスへの負担が大きく<br>危険なため、次の戦闘不能時には<br>強制的に対象者を回収します！"""
