ra_039040_0001#0,"""A.P.239/5/4"""
ra_039040_0010#0,"""あら、アナタ。<br>また来てくれたのね、嬉しいわ。"""
ra_039040_0020#0,"""ユクちゃんもそっちの坊やも<br>ずっと仏頂面していてつまらないのよ。"""
ra_039040_0030#0,"""この惑星もつまらなーい。<br>見渡す限り、砂砂砂。さびしい惑星。"""
ra_039040_0040#0,"""リリーパ、って言うんだっけ、ここ。<br>んーんんんー？\u3000そんな惑星<br>支配してたこと、あったかしら？"""
ra_039040_0050#0,"""それより、答えなさい【若人】。<br>さっき言ってた【深遠なる闇】が<br>「また」現れたって、どういう意味よ。"""
ra_039040_0060#0,"""アプレンティスじゃない、アウロラよ。<br>間違えないでよね、ユクちゃん。"""
ra_039040_0070#0,"""言葉通りの意味に決まっているじゃない。<br>アタシたちフォトナーの時代に生まれた<br>【深遠なる闇】のお話、知ってるわよね？"""
ra_039040_0080#0,"""そう、【深遠なる闇】はアタシたち<br>フォトナーが生み出したもの。<br>あれが生まれた時は大変だったのよー。"""
ra_039040_0090#0,"""あんなのが生まれてくるなんて想定外。<br>みんなでてんやわんやして対策考えて<br>なんとか封印に成功、と。"""
ra_039040_0100#0,"""封印って、あんなとんでもないのを<br>どうやって封印したんだよ。"""
ra_039040_0110#0,"""んー？\u3000そうねー。<br>確か、人伝に聞いた話だとー……"""
ra_039040_0120#0,"""【深遠なる闇】は<br>フォトンを使う存在を敵とみなし<br>どこまでも追いかけ、消そうとする。"""
ra_039040_0130#0,"""だから、ある一人のひとに<br>フォトンを全部押しつけて、封印した。<br>【深遠なる闇】と一緒にね。"""
ra_039040_0140#0,"""一人に押しつけて、封印って……<br>なんだよそれ、ほんとかよ。"""
ra_039040_0150#0,"""アタシは興味なかったし、経緯は<br>よく知らないけど、懇意にしていた<br>提督さんが言ってたから間違いないわ。"""
ra_039040_0160#0,"""……最低ね。"""
ra_039040_0170#0,"""最低？\u3000どこが？\u3000最良の策じゃない。<br>たった一人を犠牲にするだけで<br>それ以外を救えたのだから。"""
ra_039040_0180#0,"""ずいぶん優等生なセリフを<br>吐くじゃない、ユクちゃあん？<br>元【若人】のく・せ・に。"""
ra_039040_0190#0,"""優等生……そうかもね。<br>あたしが【若人】だったころなら<br>何とも思わなかった。"""
ra_039040_0200#0,"""それなのに、今は憤りすら覚える。"""
ra_039040_0210#0,"""……やっぱり、あたしは<br>記憶だけじゃなく、心まで<br>操られていたのね。"""
ra_039040_0220#0,"""…………"""
ra_039040_0230#0,"""……まあ封印したといっても<br>その後ダークファルスにボロッボロに<br>されたわけだから、説得力ないけどね。"""
ra_039040_0240#0,"""……まったくよ。"""
ra_039040_0250#0,"""このあたりはもう飽きちゃった。<br>次の場所に行きましょ。"""
