name_7717#0,"""ビバリー"""
ssn_014620_0001#0,"""俺の友人に、いつも屋根に登ってるのがいるんだよ。<br>見晴らしがいいんだってさ。"""
ssn_014620_0002#0,"""入口と反対側のほうから行けそうなんだが、<br>俺は遠慮しとくわ。"""
ssn_014620_0003#0,"""なんで……って、そりゃ……。<br>怖いからだよ！"""
ssn_014620_0101#0,"""なあ、ここから北東に行くと、でっかい建物があるだろ？<br>あのてっぺんがとんがったやつだ。"""
ssn_014620_0102#0,"""あれがなんだか、知ってるか？"""
ssn_014620_0103#0,"""あれはな、“トリニテス”っていう、<br>特別なトレイニアなんだってよ。"""
ssn_014620_0104#0,"""あんた、腕試しに行ってみたらどうだ？<br>まあ、生半可な覚悟だったら、おススメしねーけどな。"""
ssn_014620_0201#0,"""え？\u3000俺たちはトリニテスに行かないのかって？"""
ssn_014620_0202#0,"""ああ、遠慮しとくわ。"""
ssn_014620_0203#0,"""なんで……って、そりゃ……。<br>怖いからだよ！"""
ssn_014620_0301#0,"""ありゃ、行かねーのか？<br>じゃあ、また時間あるときになー。"""
ssn_014620_0401#0,"""おーっ！\u3000あんた、さすがだな。<br>かっこよかったぜー。"""
ssn_014620_0402#0,"""あんたを見習って、俺たちも頑張らないとな。<br>いつかあそこで、訓練できるようになりたいもんだぜ。"""
ssn_014620_0501#0,"""……って、ありゃ？\u3000もうトリニテスに行ってたのか。<br>なんだよ、はやく言ってくれよー。"""
ssn_016420_0601#0,"""でも、さすがだなー。<br>あんたを見習って、俺たちも頑張らないとな。"""
ssn_014620_0602#0,"""いつかあそこで、訓練できるようになりたいもんだぜ。"""
