TrialName#0,"""ゾンネル破壊"""
TrialBeginMsg#0,"""展開したダズルポッドをすべて無効化し、ゾンネルを破壊せよ！"""
TrialAbstract#0,"""ダズルポッドを無効化しゾンネルを破壊する"""
BarrierDestroy#0,"""$(0)がダズルポッドを破壊しました。"""
NpcComOnBegin#0,"""自動要撃機の出現を確認！"""
NpcComOnBegin2#0,"""“ゾンネル”本体は、シールドに護られています。<br>まずは、周囲に展開した“ダズルポッド”を破壊してください。"""
NpcComOnSuccess#0,"""ゾンネルの破壊を確認。<br>対応、ありがとうございます。"""
NpcComOnSuccess2#0,"""ゾンネルの残骸から、物資を回収してください。"""
NpcComOnFailure#0,"""ゾンネルが撤退……。<br>次の目標に向かってください。"""
NpcComOnDestroyMachineFirst#0,"""周辺地形を解析中。<br>ダズルポッドの位置情報を転送します。"""
NpcComOnDestroyMachineHalf#0,"""周辺地形の解析完了。<br>全ダズルポッドの座標を転送します。"""
NpcComOnDestroyMachineAll#0,"""全ダズルポッドの破壊を確認。<br>ゾンネルのシールドが解除されました。"""
NpcComOnNMinutesPassed#0,"""周辺地形の解析完了。<br>全ダズルポッドの座標を転送します。"""
NpcComOnDestroyMachineLeader#0,"""コントロールポッドの破壊を確認。<br>ダズルポッドの認識阻害機能が解除されました。"""
