name_7449#0,"""シオジ"""
ssn_015510_0001#0,"""よう！<br>装備は大事にしているか！"""
ssn_015510_0002#0,"""いくら実力のあるアークスでも、<br>装備がしょぼけりゃ、まともに戦えん。"""
ssn_015510_0003#0,"""大切なパートナーだと思って、<br>丁重に扱ってやれよな。"""
ssn_015510_0101#0,"""いいところに来てくれた。"""
ssn_015510_0102#0,"""オレは、このスティアで、<br>装備の研究をやってるシオジだ。"""
ssn_015510_0103#0,"""あんたに折り入って相談があるんだが、<br>聞いてくれないか？"""
ssn_015510_0201#0,"""“ヘクスカイト”っていう鉱石のデータを、<br>取ってきてもらいたい。"""
ssn_015510_0202#0,"""メディオラ外郭第２区で採れるって話だ。<br>よろしく頼んだぞ。"""
ssn_015510_0301#0,"""なんだ、忙しいのか。<br>暇になったら、また声をかけてくれ。"""
ssn_015510_0401#0,"""戻ってきたか！<br>それじゃ、データを取らせてもらうぞ。"""
ssn_015510_0402#0,"""……ふんふん、なるほど。"""
ssn_015510_0403#0,"""やっぱり、エアリオの鉱石とは、<br>ずいぶん構造が違うな。"""
ssn_015510_0404#0,"""これなら、<br>新しい装備の調整にも、耐えられそうだ。"""
ssn_015510_0405#0,"""さっそく、技術部にも伝えて、<br>装備の改良に使わせてもらおう。"""
ssn_015510_0406#0,"""スティアには、利用できそうな鉱石が、<br>まだまだあるかもしれないな。"""
ssn_015510_0407#0,"""くぅー！\u3000研究者魂が、<br>ウズウズしてくるぜ！"""
ssn_015510_0408#0,"""あんたのおかげで、<br>貴重なデータが手に入った。"""
ssn_015510_0409#0,"""ありがとな。<br>またなにかあったときは、頼らせてくれ。"""
ssn_015510_1001#0,"""このスティアじゃ、<br>毎日が戦いの連続だ。"""
ssn_015510_1002#0,"""装備を万全の状態にしておかなきゃ、<br>命がいくつあっても足りやしないぜ。"""
ssn_015510_1101#0,"""よう！<br>前の戦いじゃ、大活躍だったそうだな。"""
ssn_015510_1102#0,"""その実力を見込んで、<br>また、あんたに頼みたいことがあるんだ。"""
ssn_015510_1103#0,"""話を聞いてくれないか？"""
ssn_015510_1201#0,"""“インフェリウム”が採れるのは、<br>メディオラ外郭第１区だ。"""
ssn_015510_1202#0,"""見つかるかどうかは、<br>天候によるって噂もある。"""
ssn_015510_1203#0,"""大変な依頼だが、あんたなら、<br>上手くやってくれると信じているぜ。"""
ssn_015510_1301#0,"""そうか……。<br>気が向いたらまた来てくれよ！"""
ssn_015510_1401#0,"""おう、戻ったか。<br>さっそくデータをとらせてくれ。"""
ssn_015510_1402#0,"""……ふぅむ、こいつが“インフェリウム”か。<br>噂に聞いた以上の見事な鉱石だ！"""
ssn_015510_1403#0,"""強度もあるし、<br>それでいて加工もしやすそうだ。"""
ssn_015510_1404#0,"""……ああ、見てるだけで、<br>いろんなアイディアが浮かんでくる。"""
ssn_015510_1405#0,"""こいつを使えば、<br>すごいものが作れるに違いない。"""
ssn_015510_1406#0,"""久し振りに、研究者魂に火がついたぜ！<br>今から楽しみだな！"""
ssn_015510_1407#0,"""技術部のやつらも、<br>こいつには驚くだろうな。"""
ssn_015510_1408#0,"""ありがとよ。<br>本当に助かったぜ。"""
ssn_015510_1501#0,"""新しい鉱石との出会いが、<br>装備をさらに進化させる。"""
ssn_015510_1502#0,"""スティアの鉱石で、それが叶うと思うと、<br>年甲斐もなくワクワクしちまうな。"""
ssn_015510_1503#0,"""生活するには大変な場所だが、<br>ここに来てよかったと、心から思えるぜ。"""
