un_063170_0010#0,"""あ！\u3000こんにちは！<br>パティエンティアですよー！"""
un_063170_0020#0,"""あ、<%me>さん。<br>いま、改造したA.I.Sの操作感について<br>話をしてたんです。"""
un_063170_0030#0,"""お二人は情報屋ってことで<br>ほかのアークスの方々の意見も<br>聞かれているそうなので。"""
un_063170_0040#0,"""さて、ここからは<br>お二人の主観的な意見を<br>聞きたいのですが。"""
un_063170_0050#0,"""いやー、あたしたちに目を付けるとは<br>なかなか見どころがある研究員だねー<br>リュドミラちゃんは。"""
un_063170_0060#0,"""私たちもA.I.Sの操作経験はあるので<br>お力になれれば。"""
un_063170_0070#0,"""それにそれに！\u3000いつもは情報屋として<br>取材する立場だしー、たまにこうやって<br>話を聞かれるのも悪くないね！"""
un_063170_0080#0,"""いつも取材してるのは私だけどね……<br>パティちゃんも、ひとりでしっかりと<br>取材できるようにならないと……"""
un_063170_0090#0,"""いいよ、いいよー！<br>なんでも答えちゃうよー！"""
un_063170_0100#0,"""私の話も聞こうかバカ姉。"""
un_063170_0110#0,"""ではまず、ざっくりしたところから。<br>宇宙空間でのA.I.Sの機動性はどうでしょう？<br>身体に負担がかかったりします？"""
un_063170_0120#0,"""あー、なんかやっぱり<br>地上より、ふわふわしてる感あるよね。<br>たまに「グンッ！」ってなるけど。"""
un_063170_0130#0,"""あー、えっと……<br>じゃあ、ハイブースト使用時の<br>反動はどうです？"""
un_063170_0140#0,"""「ブンッ！」ってなったあとに<br>「グワッ！」ってなるやつだよね。<br>あれはなんかちょっと好き！"""
un_063170_0150#0,"""あー、そうですか……<br>ティアさんはどうですか？"""
un_063170_0160#0,"""宇宙空間だと、やっぱり上下感覚が<br>不安になっちゃうことがありますね。"""
un_063170_0170#0,"""ハイブーストはちょっと体を<br>締め付けられる感じがありますけど<br>気にするほどのものではないかと。"""
un_063170_0180#0,"""なるほど！<br>射撃精度はどうです？"""
un_063170_0190#0,"""そうですね、もし実弾だったら<br>空気抵抗の差が大きく出ると思いますが<br>フォトン弾なので、それほどは……"""
un_063170_0200#0,"""はいはーい！<br>ほかに、あたしに聞きたいことは？"""
un_063170_0210#0,"""あ、パティさんはもう大丈夫です。<br>ありがとうございました。"""
un_063170_0220#0,"""そうだ、<%me>さん。<br>あとで貴方の意見も聞かせてください。<br>で、ティアさんに質問ですけど……"""
un_063170_0230#0,"""無視しないでー！<br>あたしも入れて―！"""
