name_7016#0,"""グレン"""
ssn_017120_0010#0,"""ここだな。"""
ssn_017120_0020#0,"""……やはりあったか。<br>こんなデータがここに埋まっていたなんて、考えたこともなかった。"""
ssn_017120_0030#0,"""クロフォードと、ヒバナとともに、よくここで空を眺めていた。<br>訓練が終わると、夜が更けるのも忘れてこの場で話した。"""
ssn_017120_0040#0,"""……今になって思ってみれば、ヒバナは空を見ているというより、<br>故郷を見ていたのかもしれないがな。"""
ssn_017120_0050#0,"""彼女は訓練中も、それ以外の時も中心にいるような人間だった。<br>俺やクロフォードのような、尖ったやつにも分け隔てなく接してくれた。"""
ssn_017120_0060#0,"""そんなやつが、突然居なくなったら、<br>残されたやつらは、ここに来れなくなるだろう。"""
ssn_017120_0070#0,"""ゆえに、このデータを見つけるのも<br>随分と時間がかかってしまったな。"""
ssn_017120_0080#0,"""あいつは、私たちの未来は私たちで変えよう、と話していた。<br>今は彼女が望んだ未来になっているのだろうか。"""
ssn_017120_0090#0,"""……それは、考えても仕方がないな。<br>準備が出来次第、クロフォードと落ち合うことにしよう。"""
ssn_017120_0100#0,"""好いていたのだろうな。<br>この場所も、過ごす時間も、何もかも……。"""
