name01#0,"""ヒルダ"""
11_voice_navi02_122#0,"""武器には、応用的な使用方法がある。<br>好きなように試してみるといい。"""
text00#0,"""武器の応用使用"""
text01#0,"""武器の応用使用"""
text100#0,"""武器アクションを行え"""
text101#0,"""裏パレットを使え"""
text1000#0,"""ガード：<%WeaponAction><br>※敵の攻撃に合わせてガードすると<br>\u3000ジャストガード"""
text1000_3b#0,"""ガード：<%MainPaletteC><br>※敵の攻撃に合わせてガードすると<br>\u3000ジャストガード"""
text1001#0,"""パレット切り替え：<%WeaponAction><br>フォトンアーツ：<%NormalAttack>"""
text1001_3b#0,"""パレット切り替え：<%WeaponAction_2><br>フォトンアーツ：<%NormalAttack>"""
text1002#0,"""パレット切り替え：<%WeaponAction><br>テクニック：<%NormalAttack>"""
text1002_3b#0,"""パレット切り替え：<%WeaponAction_2><br>テクニック：<%NormalAttack>"""
text1003#0,"""パレット切り替え：<%WeaponAction><br>フォトンアーツ：<%NormalAttack>"""
text1003_3b#0,"""パレット切り替え：<%WeaponAction_2><br>フォトンアーツ：<%NormalAttack>"""
text1004#0,"""武器アクション：<%WeaponAction><br>※状況により<br>\u3000様々なアクションに派生"""
text1004_3b#0,"""武器アクション：<%MainPaletteC><br>※状況により<br>\u3000様々なアクションに派生"""
text1005#0,"""パレット切り替え：<%WeaponAction><br>フォトンアーツ：<%NormalAttack>"""
text1005_3b#0,"""パレット切り替え：<%WeaponAction_2><br>フォトンアーツ：<%NormalAttack>"""
