name01#0,"""艾塔妮"""
text01#0,"""現在，你的目標是......"""
11_voice_shop_414#0,"""卡菲的委託任務<br><c bb0000>「瑪古證照授與申請試練」<c><br>請達成這件事。"""
text03#0,"""要接受此項委託任務，<br>條件是職業等級必須達到3以上。<br>請注意。"""
text04#0,"""紅野狼頭上的角，就如同他的名字一樣<br>是紅野狼掉落的物品。"""
text05#0,"""在「討伐紅野狼」的任務中<br>讓你看看我的英姿，請有耐心地<br>學習。"""
name01#1,"""アスタルテ"""
text01#1,"""現在の貴方の目標は……"""
11_voice_shop_414#1,"""コフィーのクライアントオーダー<br><c bb0000>「マグライセンス授与申請試練」<c>を<br>達成することです。"""
text03#1,"""このクライアントオーダーの<br>受注には、クラスレベル３以上という<br>条件があります。ご注意を。"""
text04#1,"""フォンガルフの頭角はその名の通り<br>フォンガルフが落とすものです。"""
text05#1,"""「フォンガルフ討伐」のクエストに<br>姿を見せますので、根気強く<br>取り組んで下さい。"""
