11_voice_NPC_5012_105#0,"""ถ้าหน่วย ARKS สามารถแบ่งปัน<br>ความสามารถที่พวกเขามีให้กับพวกเรา<br>ข้าก็คงช่วยอะไนได้อีกเยอะ..."""
11_voice_NPC_5012_105#1,"""アークスになることのできる才能って<br>わけてもらったりできないんですよね。<br>ああ……歯がゆいなあ……"""
11_voice_NPC_5012_104#0,"""อดคิดไม่ได้เสมอเลยว่า<br>ถ้าข้าได้เป็น ARKS ล่ะก็<br>งานของข้าก็คงจะราบรื่นกว่านี้แน่"""
Rojio_02_020#0,"""เพราะอย่างนั้นข้าเลยนึกถึง Aki อยู่บ่อยๆ<br>คนที่เป็นทั้ง ARKS และนักวิทยาศาสตร์"""
11_voice_NPC_5012_104#1,"""私自身がアークスになれていたら<br>もっとスムーズに調査ができたのに、と<br>思わずにはいられません。"""
Rojio_02_020#1,"""だから、アークスでもあり<br>研究者でもあるアキ博士は<br>憧れですよ。"""
11_voice_NPC_5012_104#2,"""ข้าสงสัยว่าทำไมไม่มีคนค้นคว้า<br>วิธีการได้ความสามารถที่<br>จำเป็นในการที่จะเป็น ARKS"""
Rojio_03_020#0,"""บางทีข้าควรจะกลับมามองตัวเอง<br>ข้าคิดว่าข้าต้องการคนช่วย<br>ดึงความสามารถของข้าออกมามากกว่า"""
11_voice_NPC_5012_104#3,"""アークスになるための才能を<br>後天的に伸ばす研究……というの<br>どうして誰もやらないんでしょう。"""
Rojio_03_020#1,"""私がやってみようかな……<br>うーん、でも、誰かに協力して<br>もらわないとだめだしなぁ……"""
11_voice_NPC_5012_100#0,"""เมื่อท่านศึกษาธรณีวิทยาและรู้ว่าดาวกำเนิดมาแบบไหน<br>มันจะทำให้ท่านเข้าใจว่าดางดวงนี้<br>มีทรัพยากรอะไรอยู่ข้างใต้"""
Rojio_04_020#0,"""มันคือวิทยาศาสตร์ประยุกต์ที่ใช้ได้ดี<br>แต่กลับไม่ค่อยมีคนสนใจเท่าไร"""
11_voice_NPC_5012_100#1,"""地質の研究を経て、惑星のなりたちが<br>わかれば、埋まっている資源なども<br>自ずとわかってくるんですよ。"""
Rojio_04_020#1,"""なかなかに役立つ研究なんです。<br>……やっていることは地味ですけど。"""
11_voice_NPC_5012_100#2,"""งานวิจัยของข้าคงจะพังไม่เป็นชิ้นดีแน่<br>ถ้าข้าไม่ได้พบท่านก่อน <%me>"""
Rojio_05_020#0,"""ข้าเป็นหนี้ท่านมาก<br>ข้าไม่รู้จะขอบคุณท่านยังไงดี<br>เพราะก่อนหน้านี้คงไม่มีฟังข้าแน่"""
11_voice_NPC_5012_100#3,"""<%me>さんと<br>お知り合いになれていなかったら<br>私の研究は頓挫していましたよ。"""
Rojio_05_020#1,"""本当にありがとうございます。<br>あのとき、私の話を聞いてくれて……<br>ははっ、これじゃあ別れの挨拶ですね。"""
11_voice_NPC_5012_103#0,"""คนที่ลังเลที่จะค้นคว้าหาความจริง<br>นั้นไม่ใช่นักวิทยาศาสตร์ที่แท้จริง<br>ดังนั้นข้าเลยมุ่งหน้าต่อไป"""
11_voice_NPC_5012_103#1,"""調べねばならないことを<br>調べられる機会を得て、ためらう人は<br>研究者とは呼べません。私は行きます。"""
11_voice_NPC_5012_100#4,"""ท่านเห็นว่านักวิทยาศาสตร์อย่างพวกเรา<br>เป็นพวกหวาดระแวงและพิลึกใช่ไหม?<br>ข้าคิดว่ามันปกตินะ"""
Rojio_07_020#0,"""นักวิทยาศาสตร์ต้องเป็นคนอยากรู้อยากเห็น<br>หากท่านไม่มีความหลงใหลในงานของท่านมันก็<br>จบแล้วล่ะ ดังนั้นข้าเลยเป็นคนแบบนี้ยังไงล่ะ"""
11_voice_NPC_5012_100#5,"""私たちみたいな研究者は<br>偏執的で異常に見えていますか？<br>そう見えて当然と思います。"""
Rojio_07_020#1,"""ですが、研究者は探求心あっての存在。<br>そこに情熱を失ったら、おしまいです。<br>だから、これでいいんですよ。"""
11_voice_NPC_5012_100#6,"""ขอบคุณมาก<br>ถ้าคราวหน้าข้ามีเรื่องอะไรอีกล่ะก็<br>ขอฝากไว้ล่วงหน้าด้วยนะ"""
11_voice_NPC_5012_100#7,"""ありがとうございました。<br>また何かあったら依頼しますので<br>よろしくお願いします。"""
11_voice_NPC_5012_104#4,"""ที่นี่ถือเป็นฐานทัพของ ARKS<br>แต่ข้าสงสัยจังว่าพวก D-arker <br>มีฐานทัพเหมือนกันหรือเปล่า"""
11_voice_NPC_5012_104#5,"""アークスにとっては<br>ここが基地のようなものですが<br>ダーカーにも基地はあるんでしょうか？"""
11_voice_NPC_5012_104#6,"""ขอให้รู้กันแค่นี้นะ บันทึกจากทางการ<br>มีความขัดแย้งอยู่มากมาย<br>ซักวันข้าจะต้องขุดคุ้ยเบื้องหลังออกมาให้หมดให้ได้...."""
11_voice_NPC_5012_104#7,"""ここだけの話、開示されている情報って<br>不自然な部分が多かったりするんです。<br>いつか全てを明らかにしてみたいな……"""
11_voice_NPC_5012_105#2,"""ยังมีนักวิทยาศาสตร์คนอื่นที่เป็น ARKS<br>แต่น้อยคนนักที่จะศึกษา Photon"""
Rojio_11_020#0,"""มีข้อมูลเล็กน้อยเท่านั้นที่ถูกเปิดเผย<br>ทั้งๆที่เป็นข้อมูลที่สำคัญต่อ ARKS มากแท้ๆ<br>เป็นเพราะอะไรกันนะ?"""
