msc_013180_0010#0,"""ありがとう、助かったわ。"""
msc_013180_0020#0,"""えっと、あなたは……。"""
msc_013180_0030#0,"""……トゥーリだ。"""
msc_013180_0040#0,"""あんたたちのことはクッカから聞いている。<br>イルマを探しているんだろう？"""
msc_013180_0050#0,"""うん、何か手がかりは見つかった？"""
msc_013180_0060#0,"""ドールズの巣に足を踏み入れないように……、<br>潰しながら探してるが、それらしき痕跡はなにも。"""
msc_013180_0070#0,"""あたしたちも手伝うよ。"""
msc_013180_0080#0,"""いや……大丈夫だ。<br>自分でなんとかする。"""
msc_013180_0090#0,"""え……？"""
msc_013180_0100#0,"""あ、ちょっと待って……！"""
msc_013180_0110#0,"""あんたたち……腕は悪くない。"""
msc_013180_0120#0,"""この先にある“ミストラ樹林”。<br>そこにタイヴァスがいる……。"""
msc_013180_0130#0,"""そっちを手伝ってやってくれ。"""
msc_013180_0140#0,"""オレは周辺のドールズを片づけたら……戻る。"""
