text01#0,"""การใช้อาวุธให้มีประสิทธิภาพนั้น<br>ท่านต้องฝึกฝนทุกวัน ยิ่งท่านฝึกมากเท่าไหร่<br>ท่านยิ่งพัฒนามากขึ้นเท่านั้น"""
text02#0,"""ท่านอาจจะเหนื่อยในตอนแรก<br>แต่ยิ่งท่านผ่าน Boot Camp มากเท่าไหร่<br>ท่านจะยิ่งสนุกสนานไปกับการฝึกมากเท่านั้น"""
11_voice_NPC_5057_100#0,"""มือใหม่แบบท่าน ข้าเคยสอนมานักต่อนักแล้ว<br>เพราะฉะนั้นวางใจได้เลย"""
text100#0,"""Double Blade Gear"""
text101#0,"""Double Blade จะมี Gear Gauge แสดงขึ้นเหนือแถบ Palette หลัก<br>โดยค่า Gauge จะเพิ่มขึ้นเมื่อท่านโจมตีด้วย Double Blade"""
text102#0,"""เมื่อท่านกด <%WeaponAction> ในขณะที่ Gear Gauge มีค่าสูงสุดในระดับที่ 3<br>จะมีลมหมุนรอบตัวท่านและสร้างความเสียหายให้กับศัตรู           <br>Gear Gauge จะเพิ่มในขณะที่ลมหมุนโดนศัตรู และ Gauge จะลดลงเมื่อท่านหยุดโจมตี"""
text01#1,"""武器の扱いとは一日にしてならず。<br>特訓すればするほど、その扱いは<br>上達していくものよ。"""
text02#1,"""最初は辛く、苦しいと思う特訓も<br>一つ一つ出来ることが増えるたびに<br>どんどん気持ちよくなっていく。"""
11_voice_NPC_5057_100#1,"""そういう教え子を<br>私は何人も送り出してきた。<br>だから、貴方も安心して従いなさい。"""
text100#1,"""『ダブルセイバーギア』について"""
text101#1,"""ダブルセイバーのギアシステムについて、説明します。<br><br>スキル「ダブルセイバーギア」を習得している場合には、<br>武器パレットの上部にギアゲージが追加されます。<br><br>ダブルセイバーの攻撃をヒットさせると<br>ギアゲージが蓄積されていきます。"""
text102#1,"""ギアゲージはゲージ単位で最大３つまで蓄積され、<br><%WeaponAction>を押すとギアゲージを消費して<br>周囲に竜巻を発生させ、まわりを攻撃します。<br><br>竜巻が敵にヒットするとギアゲージが蓄積されるため<br>うまくヒットさせれば攻撃し続けることも可能です。"""
