name01#0,"""艾塔妮"""
11_voice_shop_411#0,"""<%me>閣下。<br>很抱歉，突然聯絡您。"""
text02#0,"""初次見面，<br>我是艾塔妮，<br>是擔任ARKS基礎教育的教官。"""
text03#0,"""現在，我們認識了。"""
text05#0,"""為各位所準備的<br>實踐型教導課程......<br>正是「ARKS之路」。"""
text06#0,"""對於ARKS的行動<br>還沒有習慣的各位，<br>一定要參加的課程。"""
text07#0,"""關於配置，如果能看過說明<br>就能比較快理解<br>首先，請先收下這個。"""
text08#0,"""只要裝備這個印章卡<br>自然就能習得<br>如何做為ARKS的知識。"""
text09#0,"""最一開始的印章卡片目標是<br><c bb0000>完成「去見艾塔妮」的任務<c>。<br>也就是說請來我這邊。"""
text10#0,"""就是這樣。<br>以後請多指教。"""
name01#1,"""艾塔妮"""
name02#0,"""シエラ"""
text01#0,"""あ、そうだ。<br>伝え忘れてました。"""
text02#1,"""いろいろ慣れるために<br>簡単な指導を受けるのはどうでしょう？<br>担当の方を紹介しますね。"""
text03#1,"""初次見面，<br>我是艾塔妮，<br>是擔任ARKS基礎教育的教官。"""
text04#0,"""現在，我們認識了。"""
text05#1,"""私の情報が正しければ<br>貴方はコールドスリープの影響で<br>記憶が曖昧な可能性があるとのこと。"""
text06#1,"""そんな貴方に推奨したいのが<br>実践型教導プログラム……<br>「アークスロード」です。"""
text07#1,"""アークスとしての活動を<br>思い出していただくためにも、是非<br>取り組んで頂きたいプログラムです。"""
text08#1,"""關於配置，如果能看過說明<br>就能比較快理解<br>首先，請先收下這個。"""
text09#1,"""只要裝備這個印章卡<br>自然就能習得<br>如何做為ARKS的知識。"""
text10#1,"""最一開始的印章卡片目標是<br><c bb0000>完成「去見艾塔妮」的任務<c>。<br>也就是說請來我這邊。"""
text11#0,"""就是這樣。<br>以後請多指教。"""
text12#0,"""「ストーリーボード」の解放条件に<br>森林探索のクリア、とあるけども<br>これはどうすればいいんだろう……？"""
text13#0,"""そんなお悩みの貴方にお勧めなのが<br>アスタルテさんの<br>「アークスロード」なんです！"""
text14#0,"""「森林探索」の解放までの道のりも<br>ばっちりガイドしてくれますからね。<br>「アークスロード」進めてみましょう！"""
