name01#0,"""シエラ"""
text01#0,"""成功です！\u3000次は、立ち回りが変わる<br><red>「シフトＰＡ」<c>について、説明します！<br>大切なので、よく聞いてくださいね！"""
text02#0,"""武器アクション<red>「ファントムシフト」の<br>発動中にＰＡを使う<c>と、なんと！<br>その効果が、別のものに変わるんです！"""
text101#0,"""課題２：<yellow>ロッドのシフトPAを３回使う"""
text03#0,"""「ルーフコンツェルト」なら<br>遠くに攻撃できるアクションに<br>変化するんですよ！"""
train_title#0,"""課題２：<yellow>ロッドのシフトPAを３回使う"""
tut_title#0,"""シフトPAについて"""
text100#0,"""・<%PhotonArts>で武器アクションを使い<br>\u3000<%WeaponAction>と<%PhotonArts>でPAを発動"""
text100_3b#0,"""・<%MainPaletteC>で武器アクションを使い<br>\u3000<%PhotonArts>でPAを発動"""
tut_win_title#0,"""『シフトPA』について"""
tut_win_text100#0,"""ファントムの武器は武器アクション中に<br>ＰＡを使用することで、基本ＰＡとは違う<br>「シフトＰＡ」を発動することができます。<br><br>通常とは性能の違う攻撃になるので、<br>状況に応じて使い分けましょう。<br><br><c ffff00>※チャージした武器アクションからは<br>\u3000シフトＰＡは発動しません。<c>"""
