11_voice_NPC_5050_101#0,"""โอเค ข้าได้รายงานท่านแล้ว <br>ท่านผ่านทุกเงื่อนไขการทดสอบ"""
text02#0,"""ข้าอนุญาติให้ท่าน <%me><br>เลือกคลาส Techer"""
text03#0,"""แต่ขอข้าแนะนำหน่อย<br>คลาสใหม่จะเป็นทางเลือกให้กับท่านในการต่อสู้"""
text04#0,"""แต่ไม่ได้หมายความว่าท่านจะแข็งแกร่งขึ้น"""
text05#0,"""แต่อย่าลืมดูเรื่องความปลอดภัยด้วยล่ะ <br>เราไม่อยากเสียท่านไป"""
text100#0,"""Techers"""
text101#0,"""Techers คือคลาสที่ถนัดการสนับสนุน ในขณะที่ Photon<br>magics ของ Wizard จะเน้นการโจมตีเป็นหลัก"""
text102#0,"""โดยคลาสนี้จะเน้นสนับสนุนระยะไกลและการฟื้นฟู Photon magics รวมถึง Heal และเพิ่มอัตรา Critical"""
11_voice_NPC_5050_101#1,"""はい、報告を承りました。<br>所定の条件を完了、試練達成です。"""
text02#1,"""それではこの場この時をもって<br><%me>の<br>テクタークラス使用を許可します。"""
text03#1,"""……さて、ここからは私の言葉。<br>新たなクラスも使えるようになり<br>戦いの幅が広がると思います。"""
text04#1,"""ですが、決して油断はなきよう。<br>出来ることが増えただけで<br>強くなったわけではないのです。"""
text05#1,"""忘れないでください。<br>その身は一つ、ですからね。"""
text100#1,"""『テクター』について"""
text101#1,"""テクターについて説明します。<br><br>テクターは近接戦闘を得意とするクラスです。<br><br>フォースよりも高い打撃耐性があり、<br>ウォンドによる攻撃で敵を圧倒します。"""
text102#1,"""また、レスタやシフタ、デバンドなどの<br>効果範囲を広げるスキルを持っているのが特徴で、<br>前線で戦いながら支援することに長けています。"""
