pr_039010_0010#0,"""あーあー……アークスのみなさーん<br>聞こえてるかしら？"""
pr_039010_0020#0,"""現在の状況を、このアタシ<br>アウロラが説明してあげるから<br>ありがたーく聞き……ってあいたっ！"""
pr_039010_0030#0,"""無駄に偉そうにしてんじゃない。"""
pr_039010_0040#0,"""……失礼。説明の続きよ。<br>リリーパに封印されていた【若人】の<br>本体が、今にも復活しようとしている。"""
pr_039010_0050#0,"""復活地点は、リリーパの地下。<br>奥底でじーっとしてるわ。"""
pr_039010_0060#0,"""現在はまだ激しい動きを見せてない。<br>けど、復活は間近よ。間違いない。"""
pr_039010_0070#0,"""元【若人】の二人が言うんだからね。<br>信用してくれちゃっていいわよー。"""
pr_039010_0080#0,"""本来はあたし達がなんとかするべき事。<br>だけど、手も、力も、数も……<br>何もかもが、足りない。"""
pr_039010_0090#0,"""だからお願い。アークスの……<br>皆の力を、貸してほしい。<br>【若人】の復活を食い止めるために。"""
pr_039010_0100#0,"""もっとも、アークスの目的は<br>ダーカーの殲滅だから、放っといても<br>戦ってくれるとは思うけど、さ。"""
pr_039010_0110#0,"""……アタシからも、お願い。<br>アイツを……【若人】を、倒して。"""
