CardSelect_Title#0,"""ARKS Road"""
CardSelect_Cancel#0,"""Back"""
CardSelect_None#0,"""ไม่มี Card"""
CardSelect_Set#0,"""ตั้งค่า"""
CardSelect_Detail#0,"""ยืนยันรายละเอียด"""
CardSelect_Decide#0,"""เปลี่ยนเป็น Card ที่แนะนำแล้ว"""
CardReward1_Title#0,"""ได้รับ Meseta และ XP"""
CardReward1_Meseta_Title#0,"""ได้รับ Meseta"""
CardReward1_Exp_Title#0,"""ได้รับ XP"""
CardReward1_Meseta#0,"""$(0)"""
CardReward1_Exp#0,"""XP (experience) $ (value)"""
CardReward2_Title#0,"""ของรางวัลที่ได้รับ"""
CardSelect_Title#1,"""アークスロード"""
CardSelect_Cancel#1,"""戻る"""
CardSelect_None#1,"""カードがありません"""
CardSelect_Set#1,"""セットする"""
CardSelect_Detail#1,"""詳細を確認する"""
CardSelect_Decide#1,"""進めるカードを変更しました。"""
CardReward1_Title#1,"""報酬メセタ・経験値"""
CardReward1_Meseta_Title#1,"""報酬メセタ"""
CardReward1_Exp_Title#1,"""報酬経験値"""
CardReward1_Meseta#1,"""$(0)"""
CardReward1_Exp#1,"""経験値\u3000$(0)"""
CardReward2_Title#1,"""報酬アイテム"""
CardTarget_Title#0,"""เงื่อนไขการทำสำเร็จ"""
CardTarget_Title#1,"""達成条件"""
Clear#0,"""ทำเป้าหมายของ ARKS Road สำเร็จแล้ว"""
Clear_Stamp#0,"""ทำเป้าหมายของ [$(0)] สำเร็จแล้ว"""
Complete#0,"""ได้รับของรางวัลสะสมของ $(0) แล้ว"""
GetCard#0,"""ได้รับ Card ใบใหม่สำหรับ ARKS Road แล้ว"""
Clear#1,"""アークスロードの目標を達成しました。"""
Clear_Stamp#1,"""「$(0)」の目標を達成しました。"""
Complete#1,"""$(0)のコンプリート報酬を獲得しました。"""
GetCard#1,"""新しいアークスロード用のカードを取得しました。"""
