Title#0,"""雨風とともに2020"""
Explanation#0,"""惑星ナベリウスの壊世区域において<br>凶暴化したエネミーの出現が報告された。<br>現地では異常な天候変動が観測されており<br>凶暴化との関係を調べる必要がある。<br>至急現地へと赴き、原因調査と同時に<br>可能な限りエネミーを撃退せよ。<br>―――――――――――――――――――<br>ルーム内のクエストポイント共有／有り<br>制限時間経過でクエスト終了"""
NpcComMsg1#0,"""これより、転送を開始します。<br>今回の目的は、該当エリアにおける<br>エネミーの凶暴化調査です。"""
NpcComMsg2#0,"""急な天候変化が発生した時に<br>凶暴化したエネミーの出現報告が<br>多くなっているようです。"""
NpcComMsg3#0,"""現在の天候は雨ですが<br>転送先一帯では天候変化が発生すると<br>予測されます。ご注意を。"""
SimpleExplanation#0,"""時間内に可能な限りエネミーを撃退せよ！"""
a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
a5#0,"""スーパーハード受注許可証の所持"""
Area0S#0,"""壊世区域：森林 エリア1"""
Area0L#0,"""惑星ナベリウス 壊世区域：森林 エリア1"""
Area1S#0,"""壊世区域：森林 エリア2"""
Area1L#0,"""惑星ナベリウス 壊世区域：森林 エリア2"""
