ra_010560_0010#0,"""อา <%me> คุง<br>มาได้จังหวะพอดีเลย"""
ra_010560_0020#0,"""เธอมาช่วยชั้นรักษา<br>เจ้าบ้านี่หน่อยได้รึเปล่า"""
ra_010560_0030#0,"""ดูท่าทางว่าเค้าจะต่อสู้กับ<br>D-arkers มามากพอสมควร<br>พูดตรงๆ ถ้าไม่รีบรักษาล่ะก็อันตรายแน่<br>"""
ra_010560_0040#0,"""[......อุ๊ก] [อย่ามาแตะต้องข้า!]<br>[ข้าไม่ต้องการบุญคุณ] [จาก ARKS]"""
ra_010560_0050#0,"""บุญคุณงั้นรึ เสียมารยาทจริง<br>พวกเราน่ะ ก็แค่ทำหน้าที่ในฐานะ <br>ARKS เท่านั้นแหละย่ะ"""
ra_010560_0060#0,"""หรือก็คือพวกเราก็แค่<br>จะกำจัด D-arkers ที่อยู่ในร่างกาย<br>ของเธอทิ้งไปเท่านั้น"""
ra_010560_0070#0,"""[D-arkers] [ภายในตัวข้า......]"""
ra_010560_0080#0,"""อะไรกันจนป่านนี้แล้ว<br>ตัวเธอเองก็น่าจะรู้ดีนี่นา ถึงความรู้สึกอันน่า<br>รังเกียจที่ถูกระตุ้นจากภายในร่างกายของเธอน่ะ"""
ra_010560_0090#0,"""แต่ก็นะ ถ้าหากว่าเธอตั้งใจที่อยากจะ<br>โดน D-arkers กัดกินอย่างนี้ไปเรื่อยๆ<br>ชั้นเองก็ไม่ขัดหรอกนะ?"""
ra_010560_0100#0,"""[............]<br>[การจบชีวิตในการต่อสู้] [เป็นความปรารถนาสูงสุด]<br>[เป็นความภูมิใจของพวกข้า] [อย่าเห็นเป็นเรื่องล้อเล่น]"""
ra_010560_0110#0,"""......พวกเธอเองก็เหมือนกันนั่นแหละ<br>คิดจะล้อเล่นกับชีวิตอีกเท่าไหร่ถึงจะพอใจ"""
ra_010560_0120#0,"""อย่าคิดที่จะพูดคำว่า [ความภูมิใจ] เพราะ<br>แค่ว่ามันเป็นคำที่ฟังดูดีนะ Dragorii"""
ra_010560_0130#0,"""พวกเธอคิดตั้งใจที่จะลบประวัติศาสตร์<br>ที่ผ่านๆ มาทั้งหมดให้หายไป<br>เพื่อแลก [ความภูมิใจ] ที่ว่านั่นรึยังไง?"""
ra_010560_0140#0,"""เลิกหันไปมองทางอื่นซักที Dragorii<br>พวกเธอจะต้องเข้าใจแน่<br>พวกเธอที่ฉลาดอยู่แล้วจะต้องเข้าใจแน่"""
ra_010560_0150#0,"""ว่าถ้าหากมี Dragorii ที่บ้าคลั่งเพิ่มมาก<br>ขึ้นมากกว่านี้ไปเรื่อยๆ แล้วจะเป็นยังไง<br>ถึงไม่ต้องถามเธอก็คงจะรู้ใช่มั้ย?"""
ra_010560_0160#0,"""[............]"""
ra_010560_0170#0,"""[ถ้าเป็นพวกเจ้า] [จะสามารถจัดการ] <br>[D-arkers] [ได้อย่างถูกต้อง] [ได้อย่างปกติ]<br>[เจ้า] [จะพูดเช่นนั้นรึ?]"""
ra_010560_0180#0,"""ชั้นคนเดียวน่ะไม่ไหวหรอก<br>เพราะว่าชั้นน่ะเป็น ARKS<br>ที่บกพร่องน่ะนะ"""
ra_010560_0190#0,"""แต่ว่า ที่ตรงนี้มี <%me> อยู่<br>เพราะฉะนั้นไม่เป็นไรหรอก <br>ปล่อยให้เป็นหน้าที่เค้าเถอะ"""
ra_010560_0200#0,"""[<%me>]<br>[ชื่อนั้น] [ข้าได้ยินจาก Hi'En]<br>[เป็นเจ้า] [เองหรอกรึ]"""
ra_010560_0210#0,"""[เจ้าคือตัวตน] [ผู้ช่วยเหลือให้พ้นทุกข์] <br>[ตามตำนาน] [ของ Ro งั้นรึ?]"""
ra_010560_0220#0,"""นั่นเป็นเรื่องที่ฟังดูยิ่งใหญ่น่าดูเลยนะ<br>แต่ที่เจ้าพูดมามันก็ไม่ผิดหรอก"""
ra_010560_0230#0,"""ถ้าต้องการหลักฐานล่ะก็<br>ก่อนอื่นเลยก็ช่วย Dragorii ที่อ่อนแอ<br>ลงมากตรงหน้านี้ก่อนเลยละกัน"""
ra_010560_0240#0,"""เนอะ <%me> คุง?"""
ra_010560_0250#0,"""A.P.238/3/24"""
ra_010560_0010#1,"""ああ、<%me>くん。<br>いいところに来てくれた。"""
ra_010560_0020#1,"""この馬鹿者の治療を<br>手伝ってくれないか。"""
ra_010560_0030#1,"""ずいぶんダーカーと<br>交戦してたみたいでね。<br>正直、早く処置しないと危ない。"""
ra_010560_0040#1,"""〔……ぐ〕〔触れるな！〕<br>〔アークスの〕〔施しは受けん〕"""
ra_010560_0050#1,"""施しとは失礼だな。<br>私たちは、アークスとしての役割を<br>果たしているにすぎないぞ。"""
ra_010560_0060#1,"""すなわち<br>キミの中にいるダーカーを滅ぼす。<br>それだけだ。"""
ra_010560_0070#1,"""〔我の内に〕〔ダーカーだと……〕"""
ra_010560_0080#1,"""何を今更。<br>キミ自身が、よくわかっているはずだ。<br>内からこみ上げる衝動に。"""
ra_010560_0090#1,"""まあ、もしキミが、このままダーカーに<br>成り下がりたいと言うのなら<br>その意志は尊重するがね？"""
ra_010560_0100#1,"""〔…………〕<br>〔戦いの末で〕〔果てるなら本望〕<br>〔我らの誇り〕〔愚弄するな〕"""
ra_010560_0110#1,"""……キミたちこそ、どこまで<br>生命を愚弄すれば気が済む。"""
ra_010560_0120#1,"""『誇り』という聞こえのいい言葉を<br>言い訳にするなよ、龍族。"""
ra_010560_0130#1,"""その『誇り』とやらのために<br>今までの歴史を、すべて<br>消し去るつもりなのか？"""
ra_010560_0140#1,"""目をそむけるなよ龍族。<br>わかっているはずだ。<br>聡明なキミたちには、わかるはず。"""
ra_010560_0150#1,"""このまま、狂う龍族が増えれば<br>どうなってしまうかなんて<br>問うまでもないことだろう？"""
ra_010560_0160#1,"""〔…………〕"""
ra_010560_0170#1,"""〔貴様達ならば〕〔ダーカーに〕<br>〔正確に〕〔正常に〕〔対処できると〕<br>〔そう〕〔言うのか？〕"""
ra_010560_0180#1,"""私一人では無理だ。<br>私はアークスとしては<br>出来損ないだからな。"""
ra_010560_0190#1,"""だが、ここには<br><%me>くんが<br>いるのだから大丈夫だ、任せたまえ。"""
ra_010560_0200#1,"""〔<%me>〕<br>〔その名〕〔ヒのエンより聞いた〕<br>〔貴様が〕〔そうなのか〕"""
