st_058025_0010#0,"""……エフィメラがあっちの世界で<br>出てきたのって数十年前なんだよね。"""
st_058025_0020#0,"""ということは、そのぐらい前から<br>【深遠なる闇】が入ってたって<br>ことになるんだよね。"""
st_058025_0030#0,"""【深遠なる闇】と<%me>は<br>ほぼ同時にオメガに行ったはずなのに<br>どうしてそんなズレてるんだろう？"""
st_058025_0040#0,"""こほん。<br>せっかくなので説明しましょう。"""
st_058025_0050#0,"""……前にも言ったかもだけど<br>本来、アカシックレコードの中は<br>めまぐるしく時が巡っている。"""
st_058025_0060#0,"""記録の整理に合わせて<br>さまざまな世界がぐるぐるーって<br>とんでもない速度で巡ってる。"""
st_058025_0070#0,"""そこに、【深遠なる闇】って<br>不純物が入って、その一瞬後に<br><%me>が入った。"""
st_058025_0080#0,"""<%me>が入った瞬間<br>わたしが気付いて<br>時間を同期させたんだ。"""
st_058025_0090#0,"""時間を……同期……？"""
st_058025_0100#0,"""あー、えーっと……<br>まあなんか、うまくやったって<br>思ってくれればいいかな。"""
st_058025_0110#0,"""ただ、その一瞬。<br>ほんのちょっとの差が<br>向こうの世界では数十年だった。"""
st_058025_0120#0,"""そのぐらい、めまぐるしく時が<br>巡り続けてる場所なんだ、オメガは。<br>いや、アカシックレコードの中は。"""
st_058025_0130#0,"""時が巡る、って言い方もおかしいか。<br>記録がぐるぐる巡ってる、かな。"""
st_058025_0140#0,"""じゃあ、あの時にアルマさんが<br>時間を止めなかったら……？"""
st_058025_0150#0,"""んー、もしかすると、一瞬で<br>ブラックホールができあがって<br>全部を飲み込んでたのかもね。"""
st_058025_0160#0,"""はからずもわたし<br>ものすごいファインプレイを<br>したのかもしれないなあ。"""
name01#0,"""？？？"""
name02#0,"""？？？"""
