IncidentName#0,"""ปกป้องยานรบ"""
TrialBeginMsg#0,"""ปกป้องยานรบจนกว่าการซ่อมแซมจะเสร็จสิ้น!"""
EnemyAppearMsg#0,"""ศัตรูทางทิศ $(0)!"""
TrialEvolutionBeginMsg_ReLanding#0,"""ปกป้องยานรบอีกครั้งจนกว่าการซ่อมแซมจะเสร็จสิ้น!"""
TrialEvolutionBeginMsg_Rescue#0,"""ปกป้องยานรบ: ช่วยเหลือคนขับ!"""
TrialEvolutionBeginMsg_Combat#0,"""ปกป้องยานรบ: เข้าร่วมต่อสู้!"""
TrialAbstract#0,"""ปกป้องยานรบจนกว่าจะซ่อมแซมเสร็จ!"""
IncidentName#1,"""戦闘機防衛"""
TrialBeginMsg#1,"""修理が完了するまで戦闘機を防衛せよ！"""
EnemyAppearMsg#1,"""$(0)の方向から敵が現れた！"""
TrialEvolutionBeginMsg_ReLanding#1,"""修理が完了するまで、再び戦闘機を防衛せよ！"""
TrialEvolutionBeginMsg_Rescue#1,"""戦闘機防衛 発展：パイロット救助\u3000開始！"""
TrialEvolutionBeginMsg_Combat#1,"""戦闘機防衛 発展：協力戦闘\u3000開始！"""
TrialAbstract#1,"""戦闘機が修理されるまで防衛せよ！"""
