un_012140_0010#0,"""......สวัสดีค่ะ<br>วันนี้ก็ออกสำรวจเหรอคะ"""
un_012140_0020#0,"""ที่จริงก็เคยได้ยินข่าวเรื่อง ARKS <br>ที่มีผลงานยอดเยี่ยมมาก็มาก<br>แต่ดูท่านจะพิเศษกว่าคนอื่นๆ นะคะ"""
un_012140_0030#0,"""ผลงานของท่านเป็นเลิศ ทั้งด้านความสามารถ<br>ในการวิเคราะห์ เผชิญหน้า และแก้ไข<br>ส่งผลให้ท่านโดดเด่นกว่าใครๆ"""
un_012140_0040#0,"""แต่ว่า ผลงานของท่าน<br>ไม่ใด้โด่งดังเฉพาะแต่ใน<br>หมู่ ARKS เท่านั้นนะคะ"""
un_012140_0050#0,"""เพราะฉะนั้นชั้นจึง<br>อยากขอเตือนท่าน<br>ว่าควรระวังตัวไว้หน่อยดีกว่า"""
un_012140_0060#0,"""ถึงแม้ผลงานที่เยี่ยมยอดอาจส่งผลดีก็ตาม<br>แต่มันก็เป็นสิ่งอันตราย<br>ที่จะดึงดูดสิ่งที่ปองร้ายท่านอยู่ให้เข้ามาด้วย"""
un_012140_0070#0,"""ชั้นได้เพียงภาวนา ขอให้ชั้นกับท่าน<br>ไม่มีวันที่ต้องเผชิญหน้ากัน<br>เพราะยังไง เราก็เป็นคนรู้จักกันแล้ว"""
un_012140_0080#0,"""A.P.238/4/17"""
un_012140_0010#1,"""……こんにちは。<br>本日も探索ですか。"""
un_012140_0020#1,"""優秀なアークスの噂というのは<br>放っておいても入ってくるもの。<br>その中でも、あなたは特別でした。"""
un_012140_0030#1,"""図抜けた行動力と洞察力。<br>過程においても結果においても<br>その影響を発揮している、と。"""
un_012140_0040#1,"""おそらくその噂は<br>アークスに留まらずに<br>広まっているはずです。"""
un_012140_0050#1,"""だからこそ、わたしは<br>あなたに進言します。<br>気をつけてください、と。"""
un_012140_0060#1,"""出すぎた杭は打たれます。<br>優秀すぎるものは、時に規律を<br>定めるものから疎まれる。"""
un_012140_0070#1,"""わたしがあなたと対峙することに<br>ならないことを、祈ります。<br>折角、知り合えたのですし。"""
un_012140_0080#1,"""A.P.238/4/17"""
