TransferMultiStart#0,"""$(0)秒後に転送を開始します。"""
TransferMultiStartLaunch#0,"""プレイヤー全員が集まるか、$(0)秒が経過すると転送を開始します。"""
TransferMultiStop#0,"""転送を中断しました。"""
RestaSignLimit#0,"""取得上限を超えるため、これ以上入手できません。"""
ReverserSignLimit#0,"""取得上限を超えるため、これ以上入手できません。"""
Levelup#0,"""制御中のドロームがレベルアップしました。"""
Join#0,"""敵性ドロームのハッキングに成功。こちらの戦闘行動に加入しました。"""
Renounced#0,"""制御範囲外のため随伴のドロームが離脱しました。"""
Levelup_Drm2#0,"""制御中のホーバックがレベルアップしました。"""
Join_Drm2#0,"""敵性ホーバックのハッキングに成功。こちらの戦闘行動に加入しました。"""
Renounced_Drm2#0,"""制御範囲外のため随伴のホーバックが離脱しました。"""
Levelup_Drm3#0,"""制御中のハイドロームがレベルアップしました。"""
Join_Drm3#0,"""敵性ハイドロームのハッキングに成功。こちらの戦闘行動に加入しました。"""
Renounced_Drm3#0,"""制御範囲外のため随伴のハイドロームが離脱しました。"""
GetBlastChargeSign#0,"""フォトンブラストが発動可能な状態です。"""
LaserSensorFound#0,"""レーザーセンサーに検知されました。"""
BuffContainerOpen_Atk_01#0,"""一定時間、<yellow>攻撃速度上昇<c>の効果が発生します。"""
BuffContainerUi_Atk_01#0,"""攻撃速度上昇"""
BuffContainerOpen_Def_01#0,"""一定時間、<yellow>ダメージ耐性上昇/打ち上げや吹き飛ばし無効<c>の効果が発生します。"""
BuffContainerUi_Def_01#0,"""ダメージ耐性上昇/打ち上げや吹き飛ばし無効"""
BuffContainerOpen_Ex_01#0,"""一定時間、<yellow>PP自然回復量増加<c>の効果が発生します。"""
BuffContainerUi_Ex_01#0,"""PP自然回復量増加"""
BuffContainerOpen_Atk_02#0,"""90秒間、<yellow>攻撃速度上昇/PP自然回復量増加<c>の効果が発生します。"""
BuffContainerOpen_Atk_03#0,"""90秒間、<yellow>ダイブアタック威力/ダウン値上昇<c>の効果が発生します。"""
BuffContainerOpen_Atk_04#0,"""90秒間、<yellow>一定間隔ごとに自動的に追加攻撃発生<c>の効果が発生します。"""
LackOfLecielPoints#0,"""エナジーポイントが不足しています。"""
SignContainerContent#0,"""レスタサイン×2 リバーサーサイン×1<br>\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000     3000<pict buffcon_point>"""
SignContainerOpenMessage#0,"""サインの使用回数を回復しました。"""
BuffContainerOpen_RangeDamage#0,"""クエスト中、<yellow>一定間隔ごとに自動的に追加攻撃発生<c>の効果が発生します。"""
BuffContainerUi_RangeDamage#0,"""一定間隔ごとに自動的に追加攻撃発生"""
BuffContainerOpen_PbGauge#0,"""クエスト中、<yellow>フォトンブラストゲージ蓄積量増加<c>の効果が発生します。"""
BuffContainerUi_PbGauge#0,"""フォトンブラストゲージ蓄積量増加"""
BuffContainerOpen_PADamage#0,"""クエスト中、<yellow>PA/テクニック威力上昇<c>の効果が発生します。"""
BuffContainerUi_PADamage#0,"""PA/テクニック威力上昇"""
BuffContainerOpen_WPDamage#0,"""クエスト中、<yellow>弱点部位への威力上昇<c>の効果が発生します。"""
BuffContainerUi_WPDamage#0,"""弱点部位への威力上昇"""
BuffContainerOpen_OverRecovery#0,"""クエスト中、<yellow>レスタサイン使用後に10秒間能力上昇<c>の効果が発生します。"""
BuffContainerUi_OverRecovery#0,"""レスタサイン使用後に10秒間能力上昇"""
BuffContainerOpen_CriticalAdd#0,"""クエスト中、<yellow>クリティカル率上昇/発生時に追加ダメージ<c>の効果が発生します。"""
BuffContainerUi_CriticalAdd#0,"""クリティカル率上昇/発生時に追加ダメージ"""
BuffContainerOpen_StepCounter#0,"""クエスト中、<yellow>ステップ時カウンター発生可能/威力上昇<c>の効果が発生します。"""
BuffContainerUi_StepCounter#0,"""ステップ時カウンター発生可能/威力上昇"""
BuffContainerOpen_StepShot#0,"""クエスト中、<yellow>ステップ発動時に追加攻撃発生<c>の効果が発生します。"""
BuffContainerUi_StepShot#0,"""ステップ発動時に追加攻撃発生"""
BuffContainerOpen_GlideAtk#0,"""クエスト中、<yellow>ダイブアタック威力/ダウン値上昇<c>の効果が発生します。"""
BuffContainerUi_GlideAtk#0,"""ダイブアタック威力/ダウン値上昇"""
TorchBuff_NotFound#0,"""ヒートコーティング状態でないと使用できません。"""
RequiredPoints#0,"""<pict quest_point>"""
LackOfPoints#0,"""探索ポイントが不足しています。"""
DiscoverBonus#0,"""ワンダリングチェストを発見しました。獲得ポイント：$(0)"""
GaugeCharge#0,"""M.A.R.S.バッテリーが一定量回復しました。"""
LackOfHWPoints#0,"""キャンディーが不足しています。"""
CandyIcon#0,"""<pict icon_sweets>"""
LackOfNPoint#0,"""探索ポイントが不足しています。"""
