name01#0,"""Cabracan"""
name02#0,"""Echo"""
name01#1,"""カブラカン"""
name02#1,"""エコー"""
skit01#0,"""อ๊ะ จริงด้วย !<br>ทางนี้มันมีรั้วกั้นอยู่นี่นา<br>ลืมไปสนิทเลย"""
skit02#0,"""/ci1 1 น่าจะมีสวิทช์อยู่ที่ไหนสักแห่งนะ<br>ช่วยกันหาดูก่อนก็แล้วกัน"""
skit03#0,"""ปกติตรงนี้จะมีรั้วกั้นอยู่น่ะนะ<br>แต่ดูเหมือนจะมีใครช่วยมาเปิดให้แล้วล่ะ"""
skit04#0,"""จะเป็นใครก็ช่างเถอะ<br>ถ้าไปทางทิศเหนือนี่ล่ะก็ แปปเดียวก็ถึงแล้ว !"""
skit01#1,"""あっ、そやった！<br>ここでフェンスが通せんぼ<br>しとるん、忘れとったわ！"""
skit02#1,"""/ci1 1 どこかに解除スイッチがあるはずよ。<br>まずはそれを探しましょ。"""
skit03#1,"""ここ、フェンスが通せんぼ<br>しとったんやけど、誰かが<br>解除してくれたみたいやな。"""
skit04#1,"""なにはともあれ<br>この道を北に行けば、すぐやで！"""
skit01#2,"""อ๊ะ จริงด้วย !<br>ทางนี้มันมีรั้วกั้นอยู่นี่นา<br>ลืมไปสนิทเลย"""
skit02#2,"""น่าจะมีสวิทช์อยู่ที่ไหนสักแห่งนะ<br>ช่วยกันหาดูก่อนก็แล้วกัน"""
skit03#2,"""ปกติตรงนี้จะมีรั้วกั้นอยู่น่ะนะ<br>แต่ดูเหมือนจะมีใครช่วยมาเปิดให้แล้วล่ะ"""
skit04#2,"""จะเป็นใครก็ช่างเถอะ<br>ถ้าไปทางทิศเหนือนี่ล่ะก็ แปปเดียวก็ถึงแล้ว !"""
skit01#3,"""あっ、そやった！<br>ここでフェンスが通せんぼ<br>しとるん、忘れとったわ！"""
skit02#3,"""どこかに解除スイッチがあるはずよ。<br>まずはそれを探しましょ。"""
skit03#3,"""ここ、フェンスが通せんぼ<br>しとったんやけど、誰かが<br>解除してくれたみたいやな。"""
skit04#3,"""なにはともあれ<br>この道を北に行けば、すぐやで！"""
