Nav000#0,"""敵残数50%突破時のナビ"""
Nav001#0,"""敵残数20%突破時のナビ"""
Nav002#0,"""橙拠点のHP残７０％時のナビ"""
Nav003#0,"""橙拠点のHP残３０％時のナビ"""
Nav004#0,"""緑拠点のHP残７０％時のナビ"""
Nav005#0,"""緑拠点のHP残３０％時のナビ"""
Nav006#0,"""白拠点のHP残７０％時のナビ"""
Nav007#0,"""白拠点のHP残３０％時のナビ"""
Nav008#0,"""紫拠点のHP残７０％時のナビ"""
Nav009#0,"""紫拠点のHP残３０％時のナビ"""
Nav010#0,"""青拠点のHP残７０％時のナビ"""
Nav011#0,"""青拠点のHP残３０％時のナビ"""
Nav012#0,"""拠点破壊、残り２個になった場合のナビ"""
Nav013#0,"""拠点破壊、残り１個になった場合のナビ"""
Nav014#0,"""各ウェーブタイムアップ時のナビ"""
Nav015#0,"""보스 の対処法を示唆するナビ"""
Nav016#0,"""壁の対処方法についてのナビ"""
Nav017#0,"""砲台の対処方法についてのナビ"""
Nav018#0,"""浸食核の対処方法についてのナビ"""
Nav019#0,"""浸食核の対処方法についてのナビ"""
Nav101#0,"""ウェーブ1에너미フェイズ開始時のナビ"""
Nav102#0,"""ウェーブ2에너미フェイズ開始時のナビ"""
Nav103#0,"""ウェーブ3에너미フェイズ開始時のナビ"""
Nav104#0,"""ウェーブ4에너미フェイズ開始時のナビ"""
Nav105#0,"""ウェーブ5에너미フェイズ開始時のナビ"""
Nav106#0,"""ウェーブ6에너미フェイズ開始時のナビ"""
Nav107#0,"""EXウェーブ7에너미フェイズ開始時のナビ"""
Nav108#0,"""武装・バリア・回復は使い切れ"""
Nav202#0,"""正結晶を取得すると拠点機能を使える"""
Nav203#0,"""拠点機能はプレイヤー毎で回数が決まっている"""
Nav204#0,"""バリア発生時に吹き飛ばしダメージを与える"""
Nav205#0,"""武装を使用するとより簡単に攻略が出来る"""
Nav206#0,"""未定"""
Nav207#0,"""エクストラウェーブが発生します"""
Nav208#0,"""正結晶の回収はこれが最後"""
