Npc46_01_010#0,"""การจะเป็น ARKS ได้ มันขึ้นอยู่กับความสามารถ<br>พิเศษอย่างนึงที่มีมาแต่กำเนิด<br>...ชั้นคงหมดหวังสินะ"""
Npc46_01_010#1,"""アークスになれるかどうかは<br>生まれ持った才能で決まるようです。<br>……残念です。"""
Npc46_02_010#0,"""การจะเป็น ARKS ได้ มันขึ้นอยู่กับความสามารถ<br>พิเศษอย่างนึงที่มีมาแต่กำเนิด<br>...ชั้นคงหมดหวังสินะ"""
Npc46_02_010#1,"""アークスになれるかどうかは<br>生まれ持った才能で決まるようです。<br>……残念です。"""
Npc46_03_010#0,"""การจะเป็น ARKS ได้ มันขึ้นอยู่กับความสามารถ<br>พิเศษอย่างนึงที่มีมาแต่กำเนิด<br>...ชั้นคงหมดหวังสินะ"""
Npc46_03_010#1,"""アークスになれるかどうかは<br>生まれ持った才能で決まるようです。<br>……残念です。"""
Npc46_04_010#0,"""การจะเป็น ARKS ได้ มันขึ้นอยู่กับความสามารถ<br>พิเศษอย่างนึงที่มีมาแต่กำเนิด<br>...ชั้นคงหมดหวังสินะ"""
Npc46_04_010#1,"""アークスになれるかどうかは<br>生まれ持った才能で決まるようです。<br>……残念です。"""
Npc46_05_010#0,"""ความสามารถดูดซับ Photon นี่<br>นอกจากติดตัวมาตอนเกิดแล้ว <br>เรียนรู้เอาทีหลังไม่ได้รึไงกันน้า?"""
Npc46_05_010#1,"""フォトンを扱う才能って<br>後天的に付与できないもの<br>なんでしょうか？"""
Npc46_06_010#0,"""ความสามารถดูดซับ Photon นี่<br>นอกจากติดตัวมาตอนเกิดแล้ว <br>เรียนรู้เอาทีหลังไม่ได้รึไงกันน้า?"""
Npc46_06_010#1,"""フォトンを扱う才能って<br>後天的に付与できないもの<br>なんでしょうか？"""
Npc46_07_010#0,"""พวกเค้าค้นพบ Photon กันได้ยังไงกันนะ<br>เรื่องความเป็นมาของการประยุกต์เอามาใช้<br>นี่ชั้นก็อยากรู้จริงๆ"""
Npc46_07_010#1,"""フォトンはどのようにして<br>発見されたのでしょうね。<br>体系化された経緯も気になります。"""
Npc46_08_010#0,"""พวกเค้าค้นพบ Photon กันได้ยังไงกันนะ<br>เรื่องความเป็นมาของการประยุกต์เอามาใช้<br>นี่ชั้นก็อยากรู้จริงๆ"""
Npc46_08_010#1,"""フォトンはどのようにして<br>発見されたのでしょうね。<br>体系化された経緯も気になります。"""
Npc46_mb9_010#0,"""พวกเค้าค้นพบ Photon กันได้ยังไงกันนะ<br>เรื่องความเป็นมาของการประยุกต์เอามาใช้<br>นี่ชั้นก็อยากรู้จริงๆ"""
Npc46_mb9_010#1,"""フォトンはどのようにして<br>発見されたのでしょうね。<br>体系化された経緯も気になります。"""
Npc46_mb10_010#0,"""พวกเค้าค้นพบ Photon กันได้ยังไงกันนะ<br>เรื่องความเป็นมาของการประยุกต์เอามาใช้<br>นี่ชั้นก็อยากรู้จริงๆ"""
Npc46_mb10_010#1,"""フォトンはどのようにして<br>発見されたのでしょうね。<br>体系化された経緯も気になります。"""
Npc46_mb11_010#0,"""พวกเค้าค้นพบ Photon กันได้ยังไงกันนะ<br>เรื่องความเป็นมาของการประยุกต์เอามาใช้<br>นี่ชั้นก็อยากรู้จริงๆ"""
Npc46_mb11_010#1,"""フォトンはどのようにして<br>発見されたのでしょうね。<br>体系化された経緯も気になります。"""
Npc46_mb12_010#0,"""ระยะนี้คิดอยู่บ่อยๆว่า ถ้าหากตัวเองมีความ<br>สามารถดูดซับ Photon ได้ก็คงดี<br>เจ็บใจเหลือเกินที่มันไม่มีทางเป็นไปได้..."""
Npc46_mb12_010#1,"""フォトンを扱う才能さえあれば、って<br>最近、よく思います。<br>何も出来ない自分が、情けなくて……"""
Npc46_mb13_010#0,"""ระยะนี้คิดอยู่บ่อยๆว่า ถ้าหากตัวเองมีความ<br>สามารถดูดซับ Photon ได้ก็คงดี<br>เจ็บใจเหลือเกินที่มันไม่มีทางเป็นไปได้..."""
Npc46_mb13_010#1,"""フォトンを扱う才能さえあれば、って<br>最近、よく思います。<br>何も出来ない自分が、情けなくて……"""
Npc46_mb14_010#0,"""ระยะนี้คิดอยู่บ่อยๆว่า ถ้าหากตัวเองมีความ<br>สามารถดูดซับ Photon ได้ก็คงดี<br>เจ็บใจเหลือเกินที่มันไม่มีทางเป็นไปได้..."""
Npc46_mb14_010#1,"""フォトンを扱う才能さえあれば、って<br>最近、よく思います。<br>何も出来ない自分が、情けなくて……"""
Npc46_mb16zeno_010#0,"""ข้อมูลที่ถูกปกปิดมาจนถึงบัดนี้<br>มันกำลังถูกเปิดเผยออกมาเรื่อยๆ แล้วล่ะครับ<br>......ทั้งเรื่องของ ARKS และ Photon เอง"""
Npc46_mb16zeno_010#1,"""今までずっと隠されていた情報が<br>どんどんと公表されていっています。<br>……アークスや、フォトンのことも。"""
