msc_023180_0010#0,"""ここまでくれば安心だね。"""
msc_023180_0020#0,"""てことは……。"""
msc_023180_0030#0,"""ワタシたち、助かった？"""
msc_023180_0040#0,"""ガヤ：アイナ隊モブアークス⑤"""
msc_023180_0050#0,"""ふぅ……。<br>なんとか切り抜けられたよ。"""
msc_023180_0060#0,"""みんなの前では、絶対大丈夫なんて言ってたけど、<br>本当はすごく怖かった。"""
msc_023180_0070#0,"""あたしのミスで、<br>怪我させたりしたらどうしようって……。"""
msc_023180_0080#0,"""リーダーのみんなに、<br>いろいろ聞いてみて、よかった。"""
msc_023180_0090#0,"""お疲れさま。"""
msc_023180_0100#0,"""しっかり教官できてた。"""
msc_023180_0110#0,"""うん……。"""
msc_023180_0120#0,"""でも、その言葉は、<br>あの子たちにかけてあげないと。"""
msc_023180_0130#0,"""ううん……。"""
msc_023180_0140#0,"""みんなが、<br>ちゃんとついてきてくれたからだよ。"""
msc_023180_0150#0,"""本当に、頑張った……。"""
msc_023180_0160#0,"""……アイナ教官！"""
msc_023180_0170#0,"""ありがとうございました！"""
msc_023180_0180#0,"""そ、それから……。"""
msc_023180_0190#0,"""ごめんなさい！"""
msc_023180_0200#0,"""オレのせいで、<br>こんなことになって……。"""
msc_023180_0210#0,"""ううん。<br>敵の強さを伝えてなかった、あたしのせい。"""
msc_023180_0220#0,"""危険な目にあわせて、<br>あたしのほうこそ、ごめんなさい……。"""
msc_023180_0230#0,"""……教官。"""
msc_023180_0240#0,"""ひとつ、教えてください。"""
msc_023180_0250#0,"""え？\u3000なに？"""
msc_023180_0260#0,"""ワタシの脚のこと、<br>なんで知ってたんですか？"""
msc_023180_0270#0,"""こっそり練習してたときに、<br>怪我したんでしょ？"""
msc_023180_0280#0,"""ちゃんと見てるんだから。"""
msc_023180_0290#0,"""じゃあ、オレの戦いかたは？"""
msc_023180_0300#0,"""敵を引きつけて戦うっていう……。"""
msc_023180_0310#0,"""本当は少し距離をとったほうが、<br>戦いやすいんだよね？"""
msc_023180_0320#0,"""いっつも、目標に突撃してたけど。"""
msc_023180_0330#0,"""あ、はい。"""
msc_023180_0340#0,"""でも、それに気づいたのは最近で……。"""
msc_023180_0350#0,"""適正距離が合ってないなって、<br>ずっと言ってたんだけどなぁ。"""
msc_023180_0360#0,"""今度、武器を変えてみるのも、<br>いいかもね？"""
msc_023180_0370#0,"""な、なるほどぉ……。"""
msc_023180_0380#0,"""あの……、もうひとつだけ。"""
msc_023180_0390#0,"""戦いの途中で、空に向かって撃ったのは、<br>なんだったんですか？"""
msc_023180_0400#0,"""あれは……。"""
msc_023180_0410#0,"""こっちの居場所を伝えたくて。"""
msc_023180_0420#0,"""<%me>なら、<br>すぐに気づいてくれると思ったから。"""
msc_023180_0430#0,"""すぐにわかった。"""
msc_023180_0440#0,"""あれがなかったら、場所を特定できなかった。"""
msc_023180_0450#0,"""よかった。<br>伝わって。"""
msc_023180_0460#0,"""これが、絆の力ってやつですか？"""
msc_023180_0470#0,"""ははは……。<br>それとは、ちょっと違う……かな？"""
msc_023180_0480#0,"""戦いのなかで身につけた<br>とっさの判断力……というか。"""
msc_023180_0490#0,"""でも、おふたりは、<br>本当に息がぴったりって感じでした。"""
msc_023180_0500#0,"""事前に相談したわけでもないのに、<br>動きに迷いがなくて。"""
msc_023180_0510#0,"""オレも、感動しました。"""
msc_023180_0520#0,"""これが、あのダークファルスを倒した<br>英雄の戦いかたなんだって。"""
msc_023180_0530#0,"""オレたちも、<br>そんなふうになれるように、頑張ります！"""
msc_023180_0540#0,"""な！\u3000ルカ！"""
msc_023180_0550#0,"""……わ、ワタシは、<br>ずっとアンタとコンビ組む気なんて……ないけど。"""
msc_023180_0560#0,"""え？\u3000そ、そんなぁ……。"""
msc_023180_0570#0,"""ふふふ……。<br>まずは、エアリオに戻ろうか。"""
msc_023180_0580#0,"""それからゆっくり、話しをしよう。"""
