name_7199#0,"""グイーデン"""
ssn_015080_0001_001#0,"""もしも、困ったときは、<br>私のアドバイスを思い出してほしい。"""
ssn_015080_0001_002#0,"""では、共に頑張ろう。"""
ssn_015080_0001#0,"""やあ、キミか。"""
ssn_015080_0002#0,"""ふむ、日々の鍛錬を怠っていないようだな。<br>以前よりも、一段と成長したようだ。"""
ssn_015080_0003#0,"""キミは今のままでも十分に強い。"""
ssn_015080_0004#0,"""だが、決してそれが<br>キミの限界ではないと私は思う。"""
ssn_015080_0005#0,"""キミはもっと強くなれる。<br>さらなる高みを目指す気はないか。"""
ssn_015080_0101#0,"""強くなるための方法はひとつではない。<br>いろいろと試しながら、キミの限界に挑戦してみてくれ。"""
ssn_015080_0102#0,"""キミの成長した姿を見られることを<br>楽しみにしているぞ。"""
ssn_015080_0201#0,"""わかった。もし興味が湧いたときは、また来てくれ。<br>いつでも歓迎しよう。"""
ssn_015080_0301#0,"""こんなに早く目標を達成してしまうとは、驚きだな。"""
ssn_015080_0302#0,"""その立ち姿だけで、<br>キミが一回り成長したとわかるぞ。"""
ssn_015080_0303#0,"""その調子で、次なる戦いに備えて励んでくれ。"""
ssn_015080_1001#0,"""あらためて、<br>一回り成長した気分はどうかな？"""
ssn_015080_1002#0,"""満足しているか、<br>あるいは、なにかが足りないと感じているか……。"""
ssn_015080_1003#0,"""実は、アークスは成長の限界を超えたときに、<br>さらなる“成長”があるのだ。"""
ssn_015080_1004#0,"""ただし、その成長は戦闘力には表れない。"""
ssn_015080_1005#0,"""どういうことか、知りたくはないか？"""
ssn_015080_1101#0,"""ひとつのクラスを極め、<br>さらにその限界を超えたアークスには“証”が現れるという。"""
ssn_015080_1102#0,"""キミに、その“証”が現れるのかはわからないが、<br>己を鍛える一環として、挑戦してみてはどうだろう？"""
ssn_015080_1201#0,"""そうか。<br>さらなる強さを求めたくなったら、また訪ねてくれ。"""
ssn_015080_2001#0,"""まだまだ力を欲しているようだな。<br>いいだろう。"""
ssn_015080_2002#0,"""では、次は武器のさらなる強化について、<br>話をしよう。"""
ssn_015080_2003#0,"""どうだい？<br>興味はあるかな。"""
ssn_015080_2101#0,"""“アームズリファイナー”は、<br>希少なものだがアイテムラボで生成してもらえる。"""
ssn_015080_2102#0,"""今ある武器を、さらに強化するために、<br>必ず用いるものだ。"""
ssn_015080_2103#0,"""必要な素材を確認し、精錬をしてみてくれ。"""
ssn_015080_2201#0,"""そうか。<br>さらなる武器の強化に興味がわいたら、また来るといい。"""
ssn_015080_2301#0,"""もしも、困ったときは、<br>私のアドバイスを思い出してほしい。"""
ssn_015080_2302#0,"""では、共に頑張ろう。"""
