st_058010_0010#0,"""到底是……怎麼回事！"""
st_058010_0020#0,"""那當然的啊。<br> 是繭啊、繭。 誕生之初的原初的深遠。<br> 包住它的繭、撒。"""
st_058010_0030#0,"""你是……埃爾米爾！"""
st_058010_0040#0,"""啊、這是自艾匹克以來的首次見面。<br>我是來問候一下<br>和道謝的、「前輩」。"""
st_058010_0050#0,"""問候……？"""
st_058010_0060#0,"""你在說什麼……？"""
st_058010_0070#0,"""哈哈哈！<br>很難受啊、前輩！"""
st_058010_0080#0,"""沒辦法。<br>給你一個特別的提示。"""
st_058010_0090#0,"""這是、什麼？"""
st_058010_0100#0,"""哈哈哈、好可怕啊。<br>這本來就是你的東西吧？<br>不、是屬於未來的你嗎？"""
st_058010_0110#0,"""你……！"""
st_058010_0120#0,"""黑暗法爾斯……！"""
st_058010_0130#0,""" 大・正・解。<br>我是、黑暗法爾斯【假面】。<br>繼承其名者、撒。"""
st_058010_0140#0,"""與全知存在同化的<br>【深遠之暗】。"""
st_058010_0150#0,"""從那裡漏出的黑暗<br>誕生了之前的我……埃爾密爾<br>就寄宿在其中。"""
st_058010_0160#0,"""明白嗎？<br>我是和徒花一起<br>降生在這個世界上的、撒。"""
st_058010_0170#0,"""哎呀、我很爲難呢。<br>黑暗法爾斯的因子散開了。"""
st_058010_0180#0,"""就這樣無法成爲【深遠之暗】了<br>即使是黑暗法爾斯的我也不完整。<br>就在我覺得不行的時候、你來了。"""
st_058010_0190#0,"""真是幫了大忙了。<br>前輩打倒黑暗法爾斯們<br>把因子還給了我、撒。"""
st_058010_0200#0,"""因子還給……？"""
st_058010_0210#0,"""咦、難道你沒注意到嗎？"""
st_058010_0220#0,"""無論前輩的力量多麼強大<br>也不可能直接利用<br>黑暗法爾斯的力量。"""
st_058010_0230#0,"""因子是我得到的。<br>前輩只是接受了殘渣。<br>所以身體也沒有問題！"""
st_058010_0240#0,"""得到了因子……<br>這種事、怎麼會……！"""
st_058010_0250#0,"""哎呀、連全知存在都變成孫輩了<br>真是劣化得厲害啊。"""
st_058010_0260#0,""" 【深遠之暗】是在全知存在的<br>具現的世界、緊密的在一起？<br>那麼因子返回的目的地就很明顯了。"""
st_058010_0270#0,"""正解。<br>這個世界本身就是【深遠之暗】。<br>我誕生的地方、撒。"""
st_058010_0280#0,"""話雖如此、也經歷了不少波折。<br>我一開始也不是這樣的。<br>外面也沒有要動的意思啊？"""
st_058010_0290#0,"""一直安靜地、睡到時機到來<br>打算不被任何人發現地做事情。"""
st_058010_0300#0,"""只是、只是啊。<br>那個、路德在任何時代都做了<br>多餘的事啊。"""
st_058010_0310#0,"""不知道是不是召喚。<br>打擾我甚至還大聲喊叫。"""
st_058010_0315#0,"""把計劃一下子搞砸了、撒。"""
st_058010_0320#0,"""而且還奪走了我的容器<br>這樣的話就不能再沉默了。"""
st_058010_0330#0,"""於是盛大地讓人們互相爭鬥<br>取回容器和因子。"""
st_058010_0340#0,"""啊對了對了、容器容器。<br>那也要感謝前輩啊。<br>謝謝你保護了我的容器。"""
st_058010_0350#0,"""多虧如此我才能在充分積蓄力量後<br>以完全的狀態復活。"""
st_058010_0360#0,"""……容器？"""
st_058010_0370#0,"""什麼"""
st_058010_0380#0,"""呃、那個容器<br>叫什麼來著。"""
st_058010_0390#0,""" ……啊、對了對了！<br>哈莉艾特、對吧？"""
st_058010_0400#0,"""哈莉艾特桑<br>你對她做了什麼！"""
st_058010_0410#0,"""……難道"""
st_058010_0420#0,"""那個繭、中的"""
st_058010_0430#0,"""好回答！　不愧是前輩！<br>那麼那個又是什麼呢<br> ……你知道嗎？"""
st_058010_0440#0,"""我只能待在這裏。<br>只有在這裏、才需要。"""
st_058010_0450#0,"""這樣的話、撒。<br>全部吸收爲止吧。"""
st_058010_0460#0,"""那就是黑暗法爾斯吧？<br>吶、前輩？"""
st_058010_0470#0,"""那麼、就在這裡阻止你！"""
st_058010_0480#0,"""我不會讓你如意的！"""
st_058010_0490#0,"""哎呀！<br>急性子可是要吃虧的哦、前輩。<br>不過、早就晚了。"""
st_058010_0500#0,""" 再見了、前輩。<br>你的、破壞世界的英雄故事<br>非常有魅力。"""
st_058010_0505#0,"""呵呵呵、哈哈哈、哈哈哈哈哈哈！"""
st_058010_0510#0,""" ……兩個人、都有緊急情况。<br>雖然很勉強很抱歉、把你們拉出來。"""
name01#0,"""？？？"""
name02#0,"""？？？"""
