un_012410_0010#0,"""นี่เจ้านะ! ชั้นไม่ให้อภัยเจ้าแน่!"""
un_012410_0020#0,"""อย่ามาแกล้งโง่นะ!<br>เจ้านั่นเห็นได้ตั้งแต่ไกลเลย<br>แล้วทำไมยังไม่รายงานขชั้นอีก!"""
un_012410_0030#0,"""อะไรนะ? เจ้าตะโกนแล้วแต่ชั้นไม่ได้ยินเหรอ?"""
un_012410_0040#0,"""อย่ามาอ้างนะ! เจ้ายังตะโกนดังไม่พอ!<br>ถ้าเป็นคนนั้นล่ะก็ ถ้ามีใครร้องขอให้ช่วย<br>ไม่ว่าจะอยู่ที่ไหนก็วิ่งไปหาได้เลยนะ!"""
un_012410_0050#0,"""แต่แปลกนะ ถ้าการตะโกนเป็นคลื่นเสียง<br>พวกมันก็จะผ่านสูญญากาศไม่ได้<br>แล้วเค้าได้ยินคนที่อยู่บนดาวได้ยังไง?"""
un_012410_0060#0,"""แล้วตอนที่ชั้นอยู่กับเค้า<br>ก็มักจะมีคนที่เดือดร้อนอยู่เสมอ....<br>....เพราะอะไรกันนะ?"""
un_012410_0070#0,"""อืม.....ไม่รู้แล้ว!"""
un_012410_0080#0,"""จะอะไรก็เถอะ เจ้าผิดที่ไม่มารายงานชั้น!<br>ปรับปรุงตัวซะ ไม่อย่างนั้นเจ้าได้<br>กลายเป็นเป้าซ้อมยิงของชั้นแน่!"""
un_012410_0010#1,"""あっ、貴様！\u3000許さないぞ！"""
un_012410_0020#1,"""何がって、とぼけるんじゃない！<br>アレがいろんな場所で見つかったのに<br>私に報告しなかっただろう！"""
un_012410_0030#1,"""……報告手段がなかった？<br>大声で呼んでも聞こえるわけない？"""
un_012410_0040#1,"""そ、そんなことはないはずだ！<br>だってあの人は、助けを呼ぶ声に<br>応じていつも何処かに行くぞ！？"""
un_012410_0050#1,"""んん？\u3000でも、声とは波だから<br>惑星からの叫び声なんて<br>聞こえるわけないはず……？"""
un_012410_0060#1,"""でも、ついていくといつも<br>助けを求めている人がいるし……<br>……どうなっているんだ？"""
un_012410_0070#1,"""んんん……わっかんない！"""
un_012410_0080#1,"""もういいや！\u3000とにかく貴様が<br>報告しないのが悪いことにする！<br>次からはきちんとやれよ、貴様！"""
