un_020390_0010#0,"""總覺得真的<br>很常遇見你耶。<br>我可是在暗地裡活動的呢。"""
un_020390_0012#0,"""對了，之前的戰技大會<br>表現如何啊？\u3000有參加嗎？"""
un_020390_0014#0,"""其實呢，我也偷偷的<br>跑去報名參加了呢。<br>呵，也算玩得很開心啦。"""
un_020390_0016#0,"""嗯？\u3000你問我參加要不要緊？"""
un_020390_0020#0,"""嗯？\u3000參加戰技大會的<br>理由？"""
un_020390_0030#0,"""啊......呵，的確是問題呢。<br>我是特地亮出名號跑去參加的。"""
un_020390_0040#0,"""反正，就是所謂抑止力啦。<br>這樣做是為了告訴他們<br>似乎有些奇怪的東西嘛。"""
un_020390_0050#0,"""與其認為完全沒人干擾，<br>不如警戒某種存在<br>這對我來說很多方面方便行事啊。"""
un_020390_0060#0,"""而且，就算想要追蹤我，<br>資料早就竄改完了。<br>如果還是追了上來，那正好。"""
un_020390_0070#0,"""越是注意我，其他人<br>就越容易在暗中辦事不是嗎？"""
un_020390_0080#0,"""......呵，也不是沒有<br>想要玩上一把的理由啦。"""
un_020390_0090#0,"""不過，他們倒是沒料到<br>我居然是從頭參加到尾呢。"""
un_020390_0100#0,"""結果就被劈了一頓<br>說事後處理超麻煩。"""
un_020390_0110#0,"""不過呢，這些啊<br>反正與我無關啦。<br>而且玩得很高興耶。"""
un_020390_0010#1,"""なんだかほんと<br>貴方とはよく会うわね。<br>一応あたし、暗躍中なのに。"""
un_020390_0012#1,"""そういえば、この前の戦技大会<br>どうだった？\u3000参加したの？"""
un_020390_0014#1,"""実はあれ、あたしもこっそり<br>参加してたのよね。<br>まあ、それなりに楽しめたわ。"""
un_020390_0016#1,"""ん？\u3000参加して大丈夫なのかって？"""
un_020390_0020#1,"""ん？\u3000あたしが戦技大会に<br>参加した理由？"""
un_020390_0030#1,"""あー……まあ、確かに疑問か。<br>名前晒してまでの参加だもんね。"""
un_020390_0040#1,"""まあ、ようは抑止力なのよ。<br>何か変なのがいるぞ、って<br>教えるためにやったワケ。"""
un_020390_0050#1,"""邪魔者なしと思われるより<br>何か居る、と警戒させた方が<br>都合が良いのよ、いろいろと。"""
un_020390_0060#1,"""それに、あたしを追おうにも<br>データ改竄済みだしね。<br>それでも追ってきたらなお好都合。"""
un_020390_0070#1,"""あたしに注意が向けば向くほど<br>ほかが暗躍しやすくなるのよ？"""
un_020390_0080#1,"""……まあ、楽しみたかったって<br>理由もあるにはあるんだけどさ。"""
un_020390_0090#1,"""もっとも、あそこまでがっつり<br>参加するとは思ってなかったみたい。"""
un_020390_0100#1,"""事後処理が大変だったって<br>すっごく怒られたわよ。"""
un_020390_0110#1,"""でもま、そんなの<br>あたしには関係ないしね。<br>それに、楽しかったから。"""
