name01#0,"""Pati"""
name02#0,"""Tia"""
name01#1,"""パティ"""
name02#1,"""ティア"""
11_voice_NPC_5013_101#0,"""ว้าว ทะเลสวยสุดๆ !<br>ไม่นึกมาก่อนเลยว่าจะมาเจออะไรยังงี้ !<br>อยากว่ายน้ำขึ้นมาแล้วสิ !"""
text02#0,"""น่าสร้างเป็นรีสอร์ทจริงๆแหละ<br>แต่ว่าศัตรูแถวนี้ยังเยอะไปหน่อยนะ"""
text03#0,"""ต้องโทษเจ้าพวก Darker นั่นแหละ !<br>อยากให้กลับมาสงบสุขเร็วๆจัง<br>ทุกคนจะได้มาเล่นกันให้สนุกสักที !"""
11_voice_NPC_5014_104#0,"""สนแค่คำสุดท้ายมากกว่ามั้ง จริงๆเล้ย<br>...เอ เห็นมีคนบอกว่า เจ้าตัวใหญ่เป้าหมายของเราคราวนี้<br>อยู่ในส่วนลึกสุดของแอเรียนี้น่ะนะ"""
text05#0,"""รู้ว่าเธอไม่ใช่คนประมาทอยู่แล้ว<br>แต่ระวังตัวไว้หน่อยก็ดีนะ"""
11_voice_NPC_5013_101#1,"""いやー、見事な海！<br>来るたび思わずにはいられないね！<br>ここで泳ぎたい、って！"""
text02#1,"""リゾートとして満喫するには<br>まだちょっとエネミーが多すぎるかな。"""
text03#1,"""なんもかんもダーカーが悪い！<br>さくさくっと平和にして<br>みんなでのんびり遊びたいよねー！"""
11_voice_NPC_5014_104#1,"""本音は最後のだけでしょ、まったく。<br>……ええっと、目標としている大型種は<br>ここの一番奥で目撃されてるみたい。"""
text05#1,"""あなたにはおせっかいかもしれないけど<br>気をつけて進みましょう。"""
