un_012400_0010#0,"""อืมมมมม....<br>อยู่ไหน อยู่ที่ไหนนะ?"""
un_012400_0020#0,"""อ๊ะ เฮ้ เจ้าน่ะ! เจ้านั่นแหละ!<br>เฮ้แก อยู่แถวนี้เห็นไอ้นั่นมั่งมั้ย<br>ไอ้นั่นอ่ะ!"""
un_012400_0030#0,"""ก็ไอ้นั่นไง...ไอ้นั่นน่ะ!<br>ที่ตอนนี้กำลังดัง...เอ พูดไงดี...<br>รู้นะว่ารู้! ก็ไอ้นั่นไงเล่า!"""
un_012400_0040#0,"""ในฐานะที่ชั้นเป็น Six Pillars คนนึง<br>ชั้นจึงต้องมาหามันนี่ไง!"""
un_012400_0050#0,"""ก็เจ้านั่นน่ะ ตัวก็ใหญ่ค่อดๆ<br>แถมยังร้ายกาจด้วยไม่ใช่เหรอ?"""
un_012400_0060#0,"""แถมยังเปิดช่องว่างมิติได้ด้วย!<br>นอกจากเค้าคนนั้นแล้ว<br>ไม่น่าเชื่อว่ายังจะมีใครทำได้อีก!"""
un_012400_0070#0,"""อึก... งี้ก็เจ๋งสิ!<br>มันต้องเจอกันหน่อยแล้ว!"""
un_012400_0080#0,"""เพราะฉะนั้นถ้าเจอมันก็รายงานชั้นด้วยล่ะ!"""
un_012400_0090#0,"""แล้วจะติดต่อยังไง? ไม่รู้ย่ะ<br>ตะโกนดังๆ ชั้นก็คงได้ยินแหละมั้ง<br>ไปล่ะ!"""
un_012400_0010#1,"""むむー、むむむむ……<br>どこだ、どこにいるんだ？"""
un_012400_0020#1,"""あっ、おい、貴様！\u3000そこの貴様！<br>おい貴様、このへんであの噂の<br>アレを見なかったか、アレを！"""
un_012400_0030#1,"""ほら、アレというのは……アレだ！<br>今話題のアレ……えっと、その……<br>わかるだろ！\u3000アレだアレ！"""
un_012400_0040#1,"""私は六芒均衡の一人として<br>自主的に警らをしているのだ！"""
un_012400_0050#1,"""アレはすごくでかくておっきくて<br>とっても強いのだろう？"""
un_012400_0060#1,"""さらに、空間を割るとも聞いた！<br>あの人以外で、そんなこと<br>できるやつがいるのだな！"""
un_012400_0070#1,"""くーっ……すばらしいな！<br>私は是非とも戦ってみたいぞ！"""
un_012400_0080#1,"""だから、見つけたら報告するように！"""
un_012400_0090#1,"""報告手段？\u3000知るか。<br>大声で呼べば聞こえるだろ。<br>それじゃあな！"""
