itsuki_010#0,"""おはようございまーす！<br>え、ワタシに相談？<br>なんですなんです？"""
itsuki_020#0,"""カフェの料理の調理方法……？"""
itsuki_030#0,"""それは企業秘密ですよー。<br>でも、素材にこだわるフランカさんの<br>直伝レシピですから安心安全！"""
itsuki_040#0,"""素材そのままの持ち味を活かして<br>人工的な調味料なんかは<br>一切使ってませんよー。"""
itsuki_050#0,"""お友達にも<br>ぜひぜひ食べにきてもらって<br>くださいねー。"""
Sofia_01_010#0,"""ギャザリングの魅力の一つが<br>いろいろ集めることですよー。"""
Sofia_01_020#0,"""いろーんな所へ行って<br>たっくさん素敵なものを<br>見つけてきてくださいねー。"""
Sofia_01_010#1,"""んんー……ギャザリングを体験するには<br>まだちょーっとだけ<br>経験が足りないですねー。"""
Sofia_01_020#1,"""「自由探索許可申請・森林」を<br>達成したらまた来てください。<br>お待ちしてますー。"""
anet_010#0,"""おはようございまーす！<br>ギャザリングのご相談なら……<br>えっ！？\u3000ジェネさんが！？"""
anet_020#0,"""そうですかー！<br>すっごく心配してましたから<br>ほっとしました！"""
anet_030#0,"""ジェネさんには、ギャザリングに夢中で<br>ガロンゴに轢かれそうになったところを<br>助けられた恩があるのです。えへへー。"""
anet_040#0,"""ともあれ、ジェネさんが<br>元気になったなら何よりですー！"""
anet_050#0,"""今度一緒に釣りに行きましょうって<br>ジェネさんに伝えてくださいー。<br>それじゃ、ばいばーい！"""
ituki_010#0,"""おはようございまーす。<br>どうしましたかー？\u3000え？<br>レシピに載ってないリングを作りたい？"""
ituki_020#0,"""そんなのダメですよー！<br>勝手に改造したスキルリングなんて<br>許しませんよー！"""
ituki_030#0,"""そうじゃなくて？<br>仲良し二人のリングを作りたい？<br>それは素敵ですねー！"""
ituki_040#0,"""そう言うことなら<br>ちょっぴりお手伝いして<br>あげちゃいますねー。"""
ituki_050#0,"""アークスなら誰でも作れる<br>フォトンを使った<br>簡単なレシピを伝授しますよー。"""
ituki_060#0,"""また何かあったら来てくださいねー。<br>それじゃー、ばいばーい！"""
sierra_010#0,"""ギャザリングの秋、楽しんでますかー？<br>ご質問なら、なんでもどうぞー。"""
sierra_020#0,"""……ふーむ、ギャザリングで最近<br>ハロウィンの格好をした女の子が<br>採取されなかったか……ですかー？"""
sierra_030#0,"""されてないと思いますよー。<br>たしかにギャザリングは時空の揺らぎを<br>ツールで具現化させる技術ですが……"""
sierra_040#0,"""ハロウィンに関係しそうな要素は<br>火山洞窟カボチャぐらいでしょうかー。<br>あ、面白いうわさ話があるんですよー！"""
sierra_050#0,"""あのカボチャ、ハロウィンになると<br>夜中に目とか口とか足とかが生えて……<br>あれー、もういいんですかー？"""
st01_010#0,"""いろいろな場所に行って<br>その景色を楽しめること。<br>それもギャザリングの魅力ですー。"""
st01_020#0,"""いろーんな所へ行って<br>たっくさん素敵なものを<br>見つけてきてくださいねー。"""
sq01_010#0,"""ギャザラーの魅力の一つが<br>いろいろ集めることですよー。"""
sq01_020#0,"""いろーんな所へ行って<br>たっくさん素敵なものを<br>見つけてきてくださいねー。"""
ep6_sq00_01#0,"""ギャザリングをすると<br>新しい発見がたっくさんあって<br>やればやるほど、楽しくなりますよー。"""
ep6_sq00_02#0,"""手を動かして何かを採ったり釣ったり<br>素材で料理やリングを作ったり！<br>その惑星のこともよく分かりますよー。"""
