name_7403#0,"""リーディア"""
ssn_015191_0001#0,"""はい、承知いたしました。"""
ssn_015191_0002#0,"""では、“ショップ”についてご案内いたしますね。"""
ssn_015191_0003#0,"""ショップでは、さまざまなアイテムをご用意しています。<br>例えば、“プレミアムセット”。"""
ssn_015191_0004#0,"""こちらのセットで、“マイショップ”での出品や<br>プレミアム倉庫の利用が可能になります。"""
ssn_015191_0005#0,"""また、コスチュームやアクセサリーなどを入手できる<br>“スクラッチ”にも挑戦いただけます。"""
ssn_015191_0006#0,"""スクラッチで入手したアイテムは、<br>“マイショップ”で売買することができますよ。"""
ssn_015191_0007#0,"""ちなみに、アイテムは常時販売しているものと、<br>定期的にラインナップが入れ替わるものがあります。"""
ssn_015191_0008#0,"""それから、特定の期間のみ入荷するものもありますから、<br>こまめにチェックしてみてくださいね。"""
ssn_015191_0009#0,"""まずは、ショップを覗いてみてください。<br>きっと、あなたにぴったりのアイテムが見つかるでしょう。"""
ssn_015191_0010#0,"""ショップでは、“AC・SGショップ”や、<br>“スクラッチ”などが利用できます。"""
ssn_015191_0011#0,"""“ACショップ”と“SGショップ”は、<br>それぞれ専用の通貨でアイテムを購入できます。"""
ssn_015191_0012#0,"""“ACショップ”で、特におススメなのは、<br>“プレミアムセット”です。"""
ssn_015191_0013#0,"""“プレミアムセット”を使用すると、“マイショップ”に出品したり、<br>プレミアム倉庫が利用できるようになります。"""
ssn_015191_0014#0,"""“スクラッチ”は、文字どおりスクラッチを引くことで、<br>コスチュームやアクセサリーがランダムで手に入ります。"""
