a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
a5#0,"""スーパーハード受注許可証の所持"""
Title#0,"""T:雨風とともに２０１９"""
Explanation#0,"""惑星ナベリウスの森林エリアにおいて<br>強力なエネミーの反応が多数確認された。<br>現地では急激な天候変化が起きている<br>との報告もあり、関連性が疑われる。<br>至急現地にて、これらの調査と共に<br>可能な限りエネミーを撃退せよ。<br>―――――――――――――――――――<br>ルーム内のクエストポイント共有／有り<br>制限時間経過でクエスト終了"""
NpcComMsg1#0,"""これより、転送を開始します。<br>現在、転送先地帯では強力なエネミーの<br>反応が多数確認されています。"""
NpcComMsg2#0,"""急激な天候変化も発生しており<br>両者の関連性を調査することが<br>今回の目的となります。"""
NpcComMsg3#0,"""現在、転送先地域は晴れていますが<br>先の通り、天候の変化が予想されます。<br>充分注意し、任務にあたってください。"""
SimpleExplanation#0,"""時間内に可能な限りエネミーを撃退せよ！"""
Area0S#0,"""森林エリア1"""
Area0L#0,"""惑星ナベリウス 森林エリア1"""
Area1S#0,"""森林エリア2"""
Area1L#0,"""惑星ナベリウス 森林エリア2"""
