un_063090_0010#0,"""新クラス「エトワール」を<br>よろしくですのー！"""
un_063090_0020#0,"""よ、よろしくお願いします……"""
un_063090_0030#0,"""あら、マスター！<br>ごきげんようですの。"""
un_063090_0040#0,"""わわっ……！？<br><%me>さん！？"""
un_063090_0050#0,"""じつは、ストラトスから<br>新クラスは宣伝活動で普及するのが<br>効果的と言われまして……"""
un_063090_0060#0,"""協力してくれると言うので、こうして<br>新クラス「エトワール」の宣伝活動を<br>二人でやってるんですの。"""
un_063090_0070#0,"""ねえ、ストラトス……？<br>しゃべらないと、宣伝になりませんの。"""
un_063090_0080#0,"""うう……"""
un_063090_0090#0,"""こ、こんにちは……<br><%me>さん……"""
un_063090_0100#0,"""あ、あの！\u3000恐縮ですが<br>そんな目で見ないでいただけると……<br>は、恥ずかしいもので……"""
un_063090_0110#0,"""は、はい！<br>こんな格好をしている理由、ですよね！"""
un_063090_0120#0,"""エトワールの宣伝をするなら<br>服も合わせないと、ってルコが……<br>うう、結局着せられちゃいました。"""
un_063090_0130#0,"""なんか、ひらひらしてますし<br>スカートだって、いつもより<br>ふわふわしちゃってますし……"""
un_063090_0140#0,"""やっぱり、私には<br>こういう服は似合わないなーって。<br>そう思ったら、恥ずかしくて……"""
un_063090_0150#0,"""そんなこと、ありませんの。<br>とっても、かわいらしいですわ。<br>ねえ、マスター？"""
un_063090_0160#0,"""うん、かわいい"""
un_063090_0170#0,"""いつもの服でいい"""
un_063090_0180#0,"""ふえっ！？<br>か、かわいいって……<br>服のことですよね！？"""
un_063090_0190#0,"""うう……<br>やっぱり、恥ずかしくてダメです！<br>き、着替えてきます！"""
un_063090_0200#0,"""や、やっぱりそうですよね！<br>私も、そう思います！"""
un_063090_0210#0,"""というわけで、ルコ！<br>私、着替えてきますから……！"""
un_063090_0220#0,"""あら……<br>おそろいの格好で嬉しかったのに<br>ちょっと残念ですの。"""
un_063090_0230#0,"""……仕方ありませんの。<br>代わりに、この服で宣伝活動を<br>お手伝いしてくださる方を……"""
un_063090_0240#0,"""……ねえ、マスター。<br>協力してくださいますわよね？<br>お洋服も、ご用意してますの！"""
