msc_041360_0010#0,"""ようこそ、塔の心臓へ。"""
msc_041360_0020#0,"""これほど早く、たどり着くとはね。<br>少しばかり、キミたちを見くびっていたよ。"""
msc_041360_0030#0,"""……やっぱり、あんたがこの塔の主ってわけね。"""
msc_041360_0040#0,"""主なんて、そんな仰々しいものじゃない。<br>ここでキミたちを迎える役目を、ある方から仰せつかっているだけさ。"""
msc_041360_0050#0,"""ある方……？"""
msc_041360_0060#0,"""さあ、約束どおり教えてあげよう。ハルファに出現した、あの穴……<br>キミたちが“アブダクションホール”と呼ぶものについて。"""
msc_041360_0070#0,"""あれは、放っておけばやがて世界を飲み込む。この、ハルファ全体をね。"""
msc_041360_0080#0,"""……やはり、放置はできないということね。"""
msc_041360_0090#0,"""その通り。止めたければ、塔の心臓……“コア”を壊すことだ。<br>ここを含めて全部で３つ。破壊すれば、穴の拡大は止められる。"""
msc_041360_0100#0,"""あそこに見えるのが、コアさ。<br>キミたちの言葉で説明するなら、制御装置の中枢というところかな。"""
msc_041360_0110#0,"""でも、簡単なことじゃない。<br>なぜなら、この３つの塔には、それぞれ選ばれた“影”がいるからね。"""
msc_041360_0120#0,"""選ばれた……影？"""
msc_041360_0130#0,"""僕のような存在さ。優秀な素体をもとに、<br>オリジナルを超えるべく創られた、完全なる影……“三影傑”。"""
msc_041360_0140#0,"""三影傑……<br>あなたが、その一人なの？"""
msc_041360_0150#0,"""そう。僕こそが、三影傑の“智の影”。<br>そして、キミたちが今いるここが、３つの塔のひとつ、というわけだ。"""
msc_041360_0160#0,"""本当なら、ここに僕のオリジナルが来てくれたなら、<br>もっと楽しかったんだけどね。"""
msc_041360_0170#0,"""彼をこの手で始末してこそ、この遊戯は完成したというのに。"""
msc_041360_0180#0,"""自分たちがお前を倒す。"""
msc_041360_0190#0,"""そんなことはさせない。"""
msc_041360_0200#0,"""ふふ、大した自信だ。<br>キミたちを葬った後の、彼の顔が楽しみだよ。"""
msc_041360_0210#0,"""それはどうかな？<br>キミたちを片づけた後は、彼の番だ。"""
msc_041360_0220#0,"""クロフォードのことを、そんなふうに言わないで！"""
msc_041360_0230#0,"""ははっ、これは失礼。<br>……さて、少しばかり、お喋りがすぎたかもしれないな。"""
msc_041360_0240#0,"""まあ、構わないか。<br>キミたちは、ここで死ぬ運命なのだから。"""
msc_041360_0250#0,"""三影傑の三、智の影・クロフォード。<br>遊戯を始めようか！"""
