st_064028_0010#0,"""数字笨蛋、去那邊了！"""
st_064028_0020#0,"""你才是数字笨蛋！<br>拉普拉斯！　麥克斯韋！"""
st_064028_0030#0,"""剛從美國回來<br>這種歡迎程度、我可是<br>２００％的勤奮呢！"""
st_064028_0040#0,"""看起来東京和<br>阿拉斯加都有敵人。<br>……你去學校那怎麼樣？"""
st_064028_0050#0,"""那邊肯定沒問題。<br>因為我拜託了<%me>。<br>而且現在去也來不及了。"""
st_064028_0060#0,"""而且……敵人好像還沒有<br>停下來呢。"""
st_064028_0070#0,"""啊、真是的！<br>我們真是１００％大受歡迎呢！"""
st_064028_0080#0,"""哎呀、哬！"""
st_064028_0085#0,"""哇啊啊啊啊！？"""
st_064028_0090#0,"""啊、謝謝你、火繼醬。"""
st_064028_0100#0,"""不客氣。<br>但是好像還不能休息。"""
st_064028_0110#0,"""誒……？"""
st_064028_0120#0,"""啊、哈哈哈……"""
st_064028_0130#0,"""儘管如此、我們還是會繼續守護在此。<br>不然就對不起<br>我們的神明了。"""
st_064028_0140#0,"""……嗯、我知道。"""
st_064028_0150#0,"""你……！"""
st_064028_0160#0,"""<%me>桑！<br>你來了啊！"""
st_064028_0170#0,"""沒事吧？"""
st_064028_0180#0,"""趕上了"""
st_064028_0190#0,"""……嗯。<br>謝謝、<%me>。"""
st_064028_0200#0,"""火繼桑、冰莉桑、雖然是久違的再會<br>但是沒有沉浸在感傷的時間喲！"""
st_064028_0210#0,"""正上方敵人勢力接近反應！<br>這是……相當多的數量！"""
st_064028_0220#0,"""火繼桑！"""
st_064028_0230#0,"""嗯。<br>……借給我力量吧、<%me>。"""
