un_022020_0010#0,"""อื๋อ...... ท่าทางแบบนั้นของเจ้า<br>ดูเหมือนว่าตั้งใจจะเริ่ม Craft <br>แล้วสินะ"""
un_022020_0020#0,"""ถ้างั้น ก็พอดีเลย<br>ช่วยรับสิ่งนี้ไปทีจะได้รึเปล่า?<br>มันคือวัตถุดิบสำหรับ Craft น่ะ"""
un_022020_0030#0,"""ข้าที่หมดความเร่าร้อนไปแล้ว<br>ถึงจะมีมันเอาไว้ก็เสียของเปล่าๆ<br>......ข้าไปล่ะนะ"""
un_022020_0050#0,"""โอ้ ข้ากำลังรอเจ้าอยู่เลย"""
un_022020_0060#0,"""ข้าได้ยินคนเค้าพูดกันว่า<br>เจ้าตั้งใจที่จะเริ่ม Craft แล้วสินะ<br>ดังนั้น ข้าก็เลยมาเพื่อมอบสิ่งนี้ให้กับเจ้า"""
un_022020_0070#0,"""มันคือวัตถุดิบสำหรับ Craft น่ะ<br>แม้ข้าจะไม่สามารถเตียมอะไรให้ได้มากมายก็จริง<br>แต่ถ้าแค่ทดลองล่ะก็จะต้องสามารถทำได้แน่"""
un_022020_0080#0,"""เส้นทางของ Crafter นั้น<br>ไม่ได้เป็นกันได้ภายในวันเดียว<br>พยายามเข้าล่ะ"""
un_022020_0090#0,"""ท่านได้รับ [Craft Material Set] จาก Zig"""
un_022020_0010#1,"""んん……お主のその様子<br>クラフトを始めるつもり<br>みたいじゃの。"""
un_022020_0020#1,"""なら、ちょうどよい。<br>これを受け取ってくれるか？<br>クラフト用の素材じゃ。"""
un_022020_0030#1,"""情熱のないわしが持っていても<br>持ち腐れじゃからの。<br>……ではな。"""
un_022020_0050#1,"""おお、待っていたぞ。"""
un_022020_0060#1,"""クラフトをやりはじめるという<br>話を人づてに聞いてな。<br>これを渡しに来たんじゃよ。"""
un_022020_0070#1,"""それがクラフト用の素材じゃよ。<br>そこまで数は用意できなんだが<br>試すことぐらいはできるはず。"""
un_022020_0080#1,"""クラフターの道は<br>一日にしてならず。<br>頑張るんじゃぞ。"""
un_022020_0090#1,"""ジグから『クラフト素材セット』を受け取りました。"""
