IncidentName#0,"""$(0)撃破"""
TrialBeginMsg#0,"""$(0)を撃破せよ！"""
TrialAbstract#0,"""$(0)を撃破せよ！"""
NpcComOnBegin#0,"""近辺に交戦中のアークスが居ます！<br>至急合流し、協力して<br>周囲一帯の敵を撃退して下さい！"""
NpcComOnSuccess#0,"""/face2 お疲れ様でした！<br>いい協力関係だったと思います！"""
NpcComOnBeginP1#0,"""$(0)の<br>サポートパートナーが<br>エネミーに襲われています！"""
NpcComOnBeginP2#0,"""周囲のエネミーを排除し<br>安全を確保してください。"""
NpcComOnBegin#1,"""交戦中のアークスの反応を付近に捕捉。<br>合流し、協力して、周囲の敵性存在を<br>撃退してください。"""
NpcComOnSuccess#1,"""敵性勢力の全滅を確認。<br>協力での任務遂行、見事です。"""
NpcComOnBeginP1#1,"""$(0)の<br>サポートパートナーが<br>敵性存在の襲撃を受けています。"""
NpcComOnBeginP2#1,"""周囲の敵性存在を排除し<br>安全の確保を。"""
NpcComOnBegin#2,"""<%me>さん！<br>近くで交戦中のアークスがいます！<br>合流の後、協力して敵性存在の撃退を！"""
NpcComOnSuccess#2,"""お疲れさまでした！<br>突然の共闘でしたが<br>上手く連携できてましたね！"""
NpcComOnBeginP1#2,"""$(0)さんの<br>サポートパートナーが襲われています！<br>援護してあげてください！"""
NpcComOnBeginP2#2,"""周囲のエネミーを撃退し、安全確保！<br>よろしくお願いします！"""
