Title#0,"""浮游大陸探索"""
Explanation#0,"""委託的目為調查於安杜斯奇亞行星地表<br>龍族所棲息的浮游大陸。<br><br>請各位在浮游大陸內自由進行探索。<br><br><br><br><br>――――――――――――――――――――<br>失敗條件/在最深處敗北"""
Title#1,"""浮遊大陸探索"""
Explanation#1,"""惑星アムドゥスキアの地表部に存在する<br>龍族の住む浮遊大陸の調査が目的となる。<br><br>浮遊大陸を各位、自由に探索せよ。<br><br><br><br><br>――――――――――――――――――――<br>失敗条件/最深部での敗北"""
SimpleExplanation#0,"""朝最深處前進！"""
SimpleExplanation#1,"""最深部を目指せ！"""
a1#0,"""這是一個測試。"""
a2#0,"""這是一個測試。"""
a3#0,"""持有超級困難模式受理許可證"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
