un_012360_0010#0,"""......อ๊ะ สวัสดี<br>มีธุระอะไรเหรอ?"""
un_012360_0020#0,"""ถ้าไม่มีอะไรล่ะก็<br>ข้าขอตัวก่อนนะ...<br>เดี๋ยวจะลืมไอเดียที่นึกได้ซะก่อน"""
un_012360_0030#0,"""ในที่สุดข้าก็เจอเคล็ดลับแล้วล่ะ<br>ว่าจะจัดการพวก D-arkers ยังไงจะดี"""
un_012360_0040#0,"""...ใช่ นั่นคือข้าจะต้องได้<br>พลังที่มากกว่าพวกมัน<br>มาไว้ในกำมือให้ได้ก่อน"""
un_012360_0050#0,"""พลังที่สามารถกำจัดทุกอย่าง<br>ที่เข้ามาขวาง มาเกะกะข้าได้<br>ใช่...นี่แหละถึงจะถูกต้อง"""
un_012360_0060#0,"""ทำไมเรื่องง่ายๆ แค่นี้<br>ข้าถึงไม่เคยนึกออกมาก่อนนะ..."""
un_012360_0070#0,"""เพราะเรานึกไม่ถึงเรื่องนี้แท้ๆ<br>เธอคนนั้นถึงได้... เธอคนนั้นถึงได้...."""
un_012360_0080#0,"""A.P.238/4/8"""
un_012360_0010#1,"""……あ、どうも、こんにちは。<br>何か用でしょうか？"""
un_012360_0020#1,"""何も用がないのであれば<br>ぼくは行きますね……<br>感覚を忘れたくないですから。"""
un_012360_0030#1,"""やっとコツが掴めてきたんです。<br>ダーカーの消し方っていうのが。"""
un_012360_0040#1,"""……そう、ぼくのこの力は<br>より多くのダーカーを消すために<br>与えられたものですからね。"""
un_012360_0050#1,"""邪魔をするものも、目障りなものも<br>全て消し飛ばしてしまえばいい。<br>そう、そうだったんだ……"""
un_012360_0060#1,"""なんでこんな簡単なことに<br>ぼくは気付かなかったんだ……"""
un_012360_0070#1,"""ぼくが気付かなかったから<br>彼女は……彼女、は…………"""
un_012360_0080#1,"""A.P.238/4/8"""
