11_voice_NPC_5209_104#0,"""私はもう大丈夫です。<br>過去とはもう決着をつけましたから。"""
mb21_020#0,"""あの方と約束しましたから。<br>だからもう大丈夫です。"""
11_voice_NPC_5209_100#0,"""私もようやく前を向けそうです。<br>あの方が名前を呼んでくれましたから。"""
mb22_020#0,"""過去に縛られず、前を向いて<br>私は生きていきます。<br>そう……約束しましたから。"""
mb22_030#0,"""私はメルランディアです。<br>もう……メルフォンシーナでは<br>ありません。"""
mb23_after_010#0,"""色々と明るみになりましたが<br>私はもう、大丈夫ですよ。<br>前を向くって決めましたから。"""
11_voice_NPC_5209_100#1,"""大切なのは過去ではなく、今です。<br>マトイさんを見つけることが<br>今は一番大切なことです。"""
mb23_after_030#0,"""力になれることがあれば<br>なんでもおっしゃってください。<br>どんな協力も惜しみません。"""
11_voice_NPC_5209_100#2,"""今回のことを通じて<br>多くのアークスが貴方様に<br>勇気づけられたと思います。"""
mb24_after_020#0,"""だから、みんなが一丸となれた。<br>私は、そう感じています。"""
11_voice_NPC_5209_100#3,"""前を向くと決めてからは<br>不思議と見えてくる景色が<br>変わってきた気がします。"""
mb25_020#0,"""もう過去に縛られません。<br>私は私として、出来る事を精一杯<br>頑張っていくつもりです。"""
11_voice_NPC_5209_100#4,"""……お久しぶりです。<br>いえ、休まれていた貴方様にとっては<br>一瞬の出来事なのかもしれません。"""
st01_020#0,"""それでも、言わせてください。<br>おかえりなさい、と。"""
st01_030#0,"""積もる話はありますが……<br>それはまた、別の機会に。<br>やることがある、って顔をしてますよ。"""
11_voice_NPC_5209_100#5,"""……お疲れさまです。<br>先日から、活発に活動されてますね。<br>なんだか、懐かしい感じです。"""
st01_020#1,"""そして、なんだか安心します。<br><%me>様が<br>戻ってきたんだな、と。"""
11_voice_NPC_5209_104#1,"""情報部……ですか。<br>アークスの裏側で動いていた組織が<br>部署再編で表に出てきたものですね。"""
st01_020#2,"""かつて、私も【巨躯】復活の経緯で<br>事情聴取されたことがあります。<br>すぐに解放されましたが。"""
st01_030#1,"""何にせよ、暗躍が主の部署ですし<br>何をやっているのかは気になりますね。"""
11_voice_NPC_5209_104#2,"""地球で発生する、幻創種、でしたか。<br>あれのことが、気になります。"""
st01_020#3,"""今でこそ、我々アークスが対応して<br>隔離や撃破を行っていますが<br>それ以前はどうしていたのか、と。"""
st01_030#2,"""由来や原理を考えると<br>アークスが地球にたどり着く前にも<br>出現していたはずですが……謎ですね。"""
11_voice_NPC_5209_104#3,"""情報部が持っていた情報が<br>明らかになったようですね。"""
st01_020#4,"""情報を隠さずに開示するっていう<br>方針だったはずですが……<br>ちょっと不安になっちゃいますね。"""
st01_010#0,"""地球の人々が行使する具現武装。<br>固有の特殊能力を持つだけではなく<br>身体能力の底上げまで行われる。"""
st01_020#5,"""アークスに準じた能力を持つために<br>創り出された仕組み……そう考える<br>ことも出来るんじゃないでしょうか。"""
st01_030#3,"""今回の敵勢力が意志持つ存在……<br>人であるというのを考えると<br>なおさらに、そう思います。"""
st01_010#1,"""私達アークスの使うフォトンに対する<br>リミッター。それは地球の人々が使う<br>具現武装には作用しなかった……"""
st01_020#6,"""フォトンとエーテルは<br>似ていながら、やはり違うもの。<br>いっそう気をつけねばなりませんね。"""
st01_010#2,"""ダーカーの幻創種が生まれたことよりも<br>アークスシップに、ダークファルスが<br>いたということが驚きです。"""
st01_020#7,"""そしてそれが感知されていなかった。<br>元はダークファルスだとしても<br>浄化さえすれば、大丈夫に……？"""
st01_030#4,"""……失礼、詮無き考えでした。<br>気にしないでください。"""
st01_010#3,"""****"""
st01_020#8,"""****"""
