un_044050_0010#0,"""おお、<%me>！<br>こんなところで会うとは奇遇だな！"""
un_044050_0020#0,"""クラリスクレイスから時々話は聞いていたが<br>こうして会えると、やはり違うな。<br>実感がある、とでも言えばいいだろうか。"""
un_044050_0030#0,"""１．何をしていたの？"""
un_044050_0040#0,"""２．そっちも元気そうで良かった"""
un_044050_0050#0,"""特に何を、というわけではないが<br>定期的にナベリウスの警ら、というやつだ！"""
un_044050_0060#0,"""戦闘部の司令とかに据えられてしまったが<br>そんなのは関係ない！\u3000現場至上主義だ！"""
un_044050_0070#0,"""ふはははっ！\u3000当たり前だ！<br>オレはそれが取り柄だからな！"""
un_044050_0080#0,"""それに考えてもみてほしい！<br>オレに元気がなかったら、それこそ<br>気持ち悪いというものだろう？"""
un_044050_0090#0,"""地球といったか？\u3000あの異世界に存在する<br>惑星への対応で、こちら側の各惑星への対応が<br>若干手薄になってしまっているからな。"""
un_044050_0100#0,"""オレやクラリスクレイスも暇さえあれば<br>あちこち警らしているというわけだ！"""
un_044050_0110#0,"""地球、という惑星に起因した問題もわかるが<br>オレ達アークスには、ダーカーへの対抗という<br>継続的な問題も残されている！"""
un_044050_0120#0,"""どちらが優先、という話ではないぞ！<br>適材適所、というやつだ！"""
un_044050_0130#0,"""オレ達がこちら<br><%me>があちら。<br>必要に応じ、互いに協力する。"""
un_044050_0140#0,"""仲間とは、そういうものだろう。"""
un_044050_0150#0,"""だからオレは、君が戻ってきてくれて<br>とても心強いし、嬉しいぞ！"""
un_044050_0160#0,"""……む！<br>どこかでオレの助けを呼ぶ声が！<br><%me>！\u3000では、またな！"""
