un_012050_0001#0,"""???"""
un_012050_0010#0,"""...สวัสดีค่ะ"""
un_012050_0020#0,"""ว่าแล้วเชียว<br>ถ้าหลบอยู่ในมุมอับสายตา<br>ท่านก็ไม่รู้สึกตัวสินะคะ"""
un_012050_0030#0,"""ถึงจะไม่เข้าใจเหตุผลของ<br>ความสามารถพิเศษของท่าน<br>แต่ก็วิเคราะห์ได้แล้ว"""
un_012050_0040#0,"""ไว้ถึงเวลามีเรื่องให้ช่วย<br>ชั้นคงจะติดต่อท่านไปเอง"""
un_012050_0050#0,"""แต่เวลาเห็นชั้นอยู่คนเดียว<br>ช่วยทำเป็นไม่เห็นทีนะคะ<br>เพราะชั้นอาจอยู่ระหว่างทำภารกิจก็ได้"""
un_012050_0060#0,"""ถึงจะกะทันหันไปหน่อย แต่มีคำถามค่ะ"""
un_012050_0070#0,"""ท่านไม่เคยรู้ว่ามังกรคลั่ง...<br>Haddred มักจะไปอยู่ที่ไหนเลยหรือคะ?"""
un_012050_0080#0,"""ไม่เคยรู้สึกว่าน่าจะอยู่ที่ไหนบ้างจริงๆ เหรอคะ?"""
un_012050_0090#0,"""ถ้าคนที่มีประสาทสัมผัสระดับนี้อย่างท่าน<br>น่าจะรู้สิคะว่า Haddred ทิ้งร่องรอยอะไรไว้<br>ให้พอจะตามไปเจอตัวบ้าง...!"""
un_012050_0100#0,"""...ขอโทษที่เสียมารยาทค่ะ<br>พอดีช่วงนี้ ชั้นกดดันตัวเองไปหน่อย"""
un_012050_0110#0,"""ทำไมต้องเจาะจงเฉพาะมังกรตัวนั้น?"""
un_012050_0120#0,"""Haddred คือ?"""
un_012050_0130#0,"""มังกรตัวนั้น...เจ้านั่น...<br>Haddred คือ ผู้ทรยศ"""
un_012050_0140#0,"""เพราะในจำนวนมังกรคลั่งทุกตัว<br>Haddred เป็นมังกรที่ร้ายกาจเป็นพิเศษ...<br>...เป็นชื่อของผู้ทรยศที่ไม่มีวันได้รับการอภัยค่ะ"""
un_012050_0150#0,"""จะปล่อยผู้ทรยศไว้ไม่ได้<br>ไม่ว่าวงการไหนก็มีกฏเหล็กแบบนี้เหมือนกันทั้งนั้น<br>ชั้นจะต้อง...ให้ได้ ด้วยมือคู่นี้..."""
un_012050_0160#0,"""...อ๊ะ เปล่า ไม่มีอะไรค่ะ<br>ลืมมันซะเถอะ"""
un_012050_0170#0,"""ไว้ถ้ารู้ว่ามังกรตัวนั้นอยู่ที่ไหนแล้ว<br>ช่วยบอกชั้นด้วยนะคะ ขอตัว"""
un_012050_0180#0,"""A.P.238/3/15"""
un_012050_0001#1,"""？？？"""
un_012050_0010#1,"""……どうも。"""
un_012050_0020#1,"""なるほど。<br>視野外からの接近であれば<br>気付かないようですね。"""
un_012050_0030#1,"""あなたの特性について<br>理由はわからないけれども<br>理解はしました。"""
un_012050_0040#1,"""用件のある時は、わたしから<br>声をかけさせてもらいます。"""
un_012050_0050#1,"""わたし一人の時に声をかけるのは<br>なるべく避けてください。<br>仕事中かもしれませんので。"""
un_012050_0060#1,"""早速ですが、質問です。"""
un_012050_0070#1,"""あなたはかの暴走龍の……<br>ハドレッドの所在を<br>つかんではいないのですか？"""
un_012050_0080#1,"""本当に、何も感じ取っては<br>いないのですか？"""
un_012050_0090#1,"""それだけ鋭敏な感覚を持つのなら<br>ハドレッドの所在を掴むのだって<br>きっと容易なはず……！"""
un_012050_0100#1,"""……失礼しました。<br>少し、興奮してしまったようです。"""
un_012050_0110#1,"""なぜその龍にこだわる？"""
un_012050_0120#1,"""ハドレッドって？"""
un_012050_0130#1,"""あの龍……あいつは……<br>ハドレッドは裏切り者だから。"""
un_012050_0140#1,"""ハドレッドとは、暴走龍の中でも<br>特に強い力をもつ……<br>……許し難い裏切り者の名です。"""
un_012050_0150#1,"""裏切り者を許してはならない。<br>それは、あらゆる組織での鉄則。<br>絶対に、わたしの手で……"""
un_012050_0160#1,"""……いえ、なんでもありません。<br>忘れてください。"""
un_012050_0170#1,"""かの龍の所在、もし発見されたなら<br>わたしにお伝えください。では。"""
un_012050_0180#1,"""A.P.238/3/15"""
