un_020240_0010#0,"""อ๊ะ......! อ้าว อะไรกัน<br><%me><br>บังเอิญจังเลยนะครับที่มาเจอกันที่นี่......"""
un_020240_0020#0,"""เอ่อ... คือ.......<br>ช่วงนี้ได้เจอท่านอาจารย์บ้างมั้ยครับ?"""
un_020240_0030#0,"""ตามตารางงานการตรวจสอบของท่านอาจารย์<br>แล้วเค้าจะต้องไปสถานที่ๆ อันตรายมาก<br>จะว่ารู้สึกเป็นห่วง...... รึยังไงดีล่ะครับ......"""
un_020240_0040#0,""".......ครับ ขอโทษนะครับ<br>เป็นห่วงนั่นล่ะครับ จริงๆ แล้ว"""
un_020240_0050#0,"""......จริงอยู่ที่ว่าท่านประธานตัดสิน<br>แล้วว่างานวิจัยของท่านอาจารย์ไร้ค่า<br>แต่ผมไม่ได้คิดแบบนั้น......"""
un_020240_0060#0,"""แม้ผมจะเป็นสายลับของ Organization Void<br>แต่ผมก็อยู่เคียงข้างท่านอาจารย์และ<br>ทำงานโดยมีเป้าหมายเดียวกันมาตลอด....."""
un_020240_0070#0,"""รู้สึกเห็นใจ...... อาจเป็นคำที่ดูโอหังเกินไป<br>ทว่าผมเองก็อยากจะเห็นปลายทางที่ท่าน<br>อาจารย์ตั้งเป้าไว้ครับ"""
un_020240_0080#0,"""ผมควรจะทำยังไงดี......"""
un_020240_0090#0,""".......ถ้าเป็นท่านอาจารย์<br>คงจะต้องพูดว่าถ้ามีเวลามานั่งกลุ้มใจ<br>ล่ะก็ รีบๆ ไปตรวจสอบซะสิ แน่ๆ"""
un_020240_0100#0,""".......ใช่<br>ถ้าเป็นท่านอาจารย์ล่ะก็ ต้องพูดแน่"""
un_020240_0010#1,"""あ……！\u3000ああ、なんだ<br><%me>さん。<br>こんなところで奇遇ですね……"""
un_020240_0020#1,"""ええっと、その……<br>最近、先生に会っていますか？"""
un_020240_0030#1,"""先生の予定にあった次の調査<br>かなり危険な場所のはずなので<br>気になるというか……なんというか……"""
un_020240_0040#1,"""……はい、ごめんなさい。<br>気になるんです、本当は。"""
un_020240_0050#1,"""……総長はたしかに先生の研究を<br>価値がないものと判断しましたけど<br>僕にはそうは思えなくて……"""
un_020240_0060#1,"""虚空機関のスパイだったとはいえ<br>先生とずっと一緒にいさせてもらって<br>目指すものを一緒に見てきたから……"""
un_020240_0070#1,"""情が移った……なんて、偉そうですけど<br>先生の目指す先が、気になるんです。"""
un_020240_0080#1,"""僕はどうすればいいんでしょう……"""
un_020240_0090#1,"""……先生ならきっと<br>悩む暇なんてあったら調べろって<br>仰るでしょうね。"""
un_020240_0100#1,"""……そう。<br>先生なら、きっと。"""
