ssc_511020_0010#0,"""……おや？\u3000あなたでしたか。"""
ssc_511020_0020#0,"""そうだ。<br>ちょうどいい機会なので、聞かせてください。"""
ssc_511020_0030#0,"""……あなたは、この光景を初めて見たとき、<br>どう思われましたか？"""
ssc_511020_0040#0,"""驚いた。"""
ssc_511020_0050#0,"""前にも見たことがあった。"""
ssc_511020_0060#0,"""ええ、そうでしょう。<br>私も同じです。"""
ssc_511020_0070#0,"""なるほど。<br>おそらく、リテムのマクアドのことですね。"""
ssc_511020_0080#0,"""ここを最初に発見したのは、<br>グレン隊長が率いる偵察隊でした。"""
ssc_511020_0090#0,"""そのなかには、私もいました。"""
ssc_511020_0100#0,"""ドールズは、空から来るだけではない。<br>ハルファのどこかで、生み出されている。"""
ssc_511020_0110#0,"""ヒバナの遺した言葉です……。"""
ssc_511020_0120#0,"""それが、まさかこうしたかたちで、<br>目の前に現れるとは。"""
ssc_511020_0130#0,"""隊長は、ここの制圧が急務として、<br>スティアの先遣隊を編制したのです。"""
ssc_511020_0140#0,"""……ちなみに、こちらに来る前、<br>この場所のことをクロフォード君はなんと？"""
ssc_511020_0150#0,"""クロフォードからはなにも。"""
ssc_511020_0160#0,"""グレンとのやりとりで、うやむやに。"""
ssc_511020_0170#0,"""そうですか……。"""
ssc_511020_0180#0,"""あれこれ話すよりも、<br>自分の目で見たほうが早いと考えたのかもしれません。"""
ssc_511020_0190#0,"""そ、そうでしたか。"""
ssc_511020_0200#0,"""あのときは、いきなりの連絡で、<br>私も驚きました。"""
ssc_511020_0210#0,"""話を戻して、この場所の調査についてですが、<br>残念ながら、まだほとんど手つかずの状態です。"""
ssc_511020_0220#0,"""わかっているのは、<br>ここがエネルギープラントであること。"""
ssc_511020_0230#0,"""そのプラントの基幹システムと、<br>ドールズの生産ラインが連動していること。"""
ssc_511020_0240#0,"""プラントのエネルギーは、<br>ハルファ全域に供給されていること。"""
ssc_511020_0250#0,"""迂闊に生産ラインを破壊すると、<br>システムに影響が出る可能性があること。"""
ssc_511020_0260#0,"""……というくらいです。"""
ssc_511020_0270#0,"""これから、少しずつ調査を進めて、<br>システムの構造を解析し……。"""
ssc_511020_0280#0,"""段階的に生産ラインを停止させていく。"""
ssc_511020_0290#0,"""それが、私たちのプランです。"""
ssc_511020_0300#0,"""エアリオから追加派遣された技術者も合流して、<br>ようやく本格的な調査が始められそうです。"""
ssc_511020_0310#0,"""……最初は、見えているものをすべて破壊すれば、<br>それで片がつくと思っていたのですが。"""
ssc_511020_0320#0,"""そう簡単には、いかないようですね。"""
ssc_511020_0330#0,"""というわけで、ここも含め、<br>スティアの完全制圧には、もう少し時間がかかります。"""
ssc_511020_0340#0,"""任務の完遂まで、引き続き我々の活動を、<br>支援いただけると助かります。"""
ssc_511020_0350#0,"""よろしくお願いします。"""
